name,link,last,high,low,change,change_percent,volume
Ho Wah Genting,https://www.investing.com/equities/ho-wah-genting-bhd,0.135,0.140,0.135,-0.005,-3.57%,213.00K
Systech,https://www.investing.com/equities/systech-bhd,0.295,0.305,0.295,-0.005,-1.67%,205.00K
Scientex Bhd,https://www.investing.com/equities/scientex-bhd,8.300,8.330,8.300,-0.030,-0.36%,202.90K
Only World,https://www.investing.com/equities/only-world-group-holdings-bhd,1.000,1.010,0.995,0.000,0.00%,201.00K
Paramount Corp,https://www.investing.com/equities/paramount-corporation-bhd,2.120,2.130,2.110,-0.010,-0.47%,198.70K
Lingkaran Trans Kota,https://www.investing.com/equities/lingkaran-trans-kota-holdings-bhd,5.230,5.240,5.130,+0.040,+0.77%,198.40K
Emico,https://www.investing.com/equities/emico-holdings-bhd,0.190,0.190,0.180,-0.005,-2.56%,198.10K
MNRB,https://www.investing.com/equities/mnrb-holdings-bhd,1.550,1.570,1.530,+0.010,+0.65%,198.10K
Censof,https://www.investing.com/equities/censof-holdings-bhd,0.175,0.175,0.175,0.000,0.00%,196.90K
Shin Yang Shipping Corporation Bhd,https://www.investing.com/equities/shin-yang-shipping-corporation-bhd,0.340,0.340,0.335,0.000,0.00%,192.30K
TH Heavy Engineering Bhd,https://www.investing.com/equities/th-heavy-engineering-bhd,0.040,0.040,0.035,0.000,0.00%,192.10K
Grand Hoover,https://www.investing.com/equities/grand-hoover-bhd,0.645,0.645,0.605,-0.025,-3.73%,189.00K
Berjaya Sports Toto,https://www.investing.com/equities/berjaya-sports-toto-bhd,2.260,2.310,2.250,-0.010,-0.44%,188.90K
IJM Plantations,https://www.investing.com/equities/ijm-plantations-bhd,2.410,2.430,2.410,0.000,0.00%,186.40K
Tanco,https://www.investing.com/equities/tanco-holdings-bhd,0.075,0.075,0.075,+0.005,+7.14%,185.60K
Tek Seng,https://www.investing.com/equities/tek-seng-holdings-bhd,0.255,0.255,0.250,+0.005,+2.00%,183.30K
Hong Leong Financial,https://www.investing.com/equities/hong-leong-financial-group-bhd,19.40,19.60,19.30,0.00,0.00%,181.00K
OpenSys M,https://www.investing.com/equities/opensys-m-bhd,0.305,0.310,0.305,-0.005,-1.61%,179.60K
Acoustech,https://www.investing.com/equities/acoustech-bhd,0.360,0.360,0.320,+0.015,+4.35%,177.70K
Carimin Petroleum,https://www.investing.com/equities/carimin-petroleum-bhd,0.215,0.215,0.215,0.000,0.00%,174.20K
Coastal Contracts,https://www.investing.com/equities/coastal-contracts-bhd,0.930,0.940,0.930,-0.020,-2.11%,172.60K
Caely,https://www.investing.com/equities/caely-holdings-bhd,1.200,1.200,1.160,0.000,0.00%,172.50K
Bermaz Auto,https://www.investing.com/equities/berjaya-auto-bhd,2.140,2.150,2.130,+0.010,+0.47%,172.20K
YTL Hospitality REIT,https://www.investing.com/equities/ytl-hospitality-reit,1.250,1.250,1.230,+0.020,+1.63%,170.90K
Glomac,https://www.investing.com/equities/glomac-bhd,0.415,0.415,0.400,0.000,0.00%,170.40K
Kerjaya Prospek,https://www.investing.com/equities/fututech-bhd,1.420,1.420,1.400,+0.010,+0.71%,170.00K
Seacera Group Bhd,https://www.investing.com/equities/seacera-group-bhd,0.400,0.405,0.395,-0.005,-1.23%,170.00K
Johore Tin,https://www.investing.com/equities/johore-tin-bhd,0.935,0.935,0.925,+0.010,+1.08%,169.00K
EcoFirst Cons,https://www.investing.com/equities/ecofirst-consolidated-bhd,0.310,0.310,0.300,0.000,0.00%,168.70K
Pelikan Int,https://www.investing.com/equities/pelikan-international-corp,0.565,0.565,0.550,-0.010,-1.74%,164.00K
Zelan,https://www.investing.com/equities/zelan-bhd,0.065,0.065,0.060,0.000,0.00%,163.30K
Lotte Chemical,https://www.investing.com/equities/lotte-chemical-titan,5.150,5.170,5.140,0.000,0.00%,163.30K
AmanahRaya Real Estate,https://www.investing.com/equities/amanahraya-real-estate,0.860,0.875,0.860,-0.005,-0.58%,162.60K
Boustead,https://www.investing.com/equities/boustead-holdings-bhd,1.960,1.970,1.960,0.000,0.00%,159.10K
CCK Consolidated Holdings,https://www.investing.com/equities/cck-consolidated-holdings,0.855,0.855,0.850,0.000,0.00%,156.70K
Ancom,https://www.investing.com/equities/ancom-bhd,0.610,0.620,0.610,-0.005,-0.81%,155.90K
HLT Global,https://www.investing.com/equities/hlt-global-bhd,0.270,0.270,0.255,0.000,0.00%,150.10K
Sanichi Techn,https://www.investing.com/equities/sanichi-technology-bhd,0.095,0.100,0.095,-0.010,-9.52%,150.00K
SC Estate Builder,https://www.investing.com/equities/sc-estate-builder-bhd,0.020,0.020,0.020,0.000,0.00%,150.00K
Berjaya Land,https://www.investing.com/equities/berjaya-land-bhd,0.225,0.225,0.220,0.000,0.00%,149.50K
MMS Ventures Bhd,https://www.investing.com/equities/mms-ventures-bhd,1.3700,1.3800,1.3600,-0.0200,-1.44%,149.40K
KSL,https://www.investing.com/equities/ksl-holdings-bhd,0.855,0.855,0.840,+0.010,+1.18%,148.60K
Luxchem Corp,https://www.investing.com/equities/luxchem-corporation-bhd,0.630,0.630,0.620,0.000,0.00%,148.60K
Pecca Group,https://www.investing.com/equities/pecca-group-bhd,0.8,0.8,0.8,-0.0,-3.61%,148.60K
Kretam,https://www.investing.com/equities/kretam-holdings-bhd,0.400,0.405,0.400,0.000,0.00%,148.00K
Naim Indah,https://www.investing.com/equities/naim-indah-corporation-bhd,0.025,0.025,0.025,0.000,0.00%,148.00K
MAA,https://www.investing.com/equities/maa-group-bhd,0.535,0.545,0.535,-0.010,-1.83%,147.90K
Yee Lee Corp,https://www.investing.com/equities/yee-lee-corporation-bhd,2.150,2.150,2.140,0.000,0.00%,146.20K
Puncak Niaga,https://www.investing.com/equities/puncak-niaga-holdings-bhd,0.490,0.490,0.490,-0.005,-1.01%,141.20K
Ivory Properties,https://www.investing.com/equities/ivory-properties-group-bhd,0.290,0.295,0.290,0.000,0.00%,139.60K
Kimlun Corp,https://www.investing.com/equities/kimlun-corporation-bhd,1.260,1.270,1.250,-0.010,-0.79%,136.80K
Olympia Industries Bhd,https://www.investing.com/equities/olympia-industries-bhd,0.110,0.110,0.105,0.000,0.00%,136.00K
MKH,https://www.investing.com/equities/mkh-bhd,1.330,1.330,1.320,0.000,0.00%,135.60K
KYM Bhd,https://www.investing.com/equities/kym-holdings-bhd,0.420,0.425,0.400,+0.010,+2.44%,135.50K
Solution Engineering,https://www.investing.com/equities/solution-engineering-holdings-bhd,0.140,0.145,0.140,0.000,0.00%,134.00K
Tambun Indah Land,https://www.investing.com/equities/tambun-indah-land-bhd,0.880,0.890,0.875,-0.010,-1.12%,133.70K
Media Chinese Int,https://www.investing.com/equities/media-chinese-international-ltd,0.280,0.290,0.280,-0.010,-3.45%,133.50K
Tiong Nam Logistics Holdings Bhd,https://www.investing.com/equities/tiong-nam-logistics-holdings-bhd,0.985,0.990,0.970,+0.005,+0.51%,132.80K
Golden Pharos,https://www.investing.com/equities/golden-pharos-bhd,0.265,0.265,0.245,+0.010,+3.92%,131.20K
Success Transformer Corp,https://www.investing.com/equities/success-transformer-corp,0.700,0.720,0.695,-0.015,-2.10%,130.60K
Prg,https://www.investing.com/equities/prg-holdings-bhd,0.775,0.775,0.750,0.000,0.00%,129.00K
Pantech Group Holdings Bhd,https://www.investing.com/equities/pantech-group-holdings-bhd,0.470,0.470,0.460,+0.010,+2.17%,127.90K
Teo Seng Capital,https://www.investing.com/equities/teo-seng-capital-bhd,0.825,0.825,0.825,0.000,0.00%,127.80K
Eastern & Oriental,https://www.investing.com/equities/eastern---oriental-bhd,1.440,1.440,1.400,+0.040,+2.86%,127.70K
Petra Energy Bhd,https://www.investing.com/equities/petra-energy-bhd,0.505,0.515,0.500,-0.010,-1.94%,125.20K
Favelle Favco,https://www.investing.com/equities/favelle-favco-bhd,2.340,2.340,2.250,+0.060,+2.63%,125.00K
Pinehill Pacific,https://www.investing.com/equities/pinehill-pacific-bhd,0.170,0.175,0.160,-0.010,-5.56%,124.20K
Malaysian Pacific Ind,https://www.investing.com/equities/malaysian-pacific-industries,12.360,12.660,12.340,-0.340,-2.68%,123.70K
Daiman Develop,https://www.investing.com/equities/daiman-develop-bhd,2.850,2.850,2.830,+0.020,+0.71%,123.50K
YSP Southeast Asia,https://www.investing.com/equities/ysp-southeast-asia-holding-bhd,3.010,3.010,2.980,-0.010,-0.33%,122.50K
Malaysia Marine and Heavy Eng,https://www.investing.com/equities/malaysia-marine-heavy-engineering,0.635,0.650,0.635,0.000,0.00%,122.10K
Guan Chong,https://www.investing.com/equities/guan-chong-bhd,2.200,2.230,2.160,-0.020,-0.90%,121.90K
Hai O Enterprise,https://www.investing.com/equities/hai-o-enterprise-bhd,4.300,4.310,4.280,0.000,0.00%,120.50K
Mikro MSC,https://www.investing.com/equities/mikro-msc-bhd,0.300,0.305,0.300,-0.010,-3.23%,120.30K
PW Consolidated,https://www.investing.com/equities/pw-consolidated-bhd,0.820,0.820,0.800,+0.005,+0.61%,119.90K
Lee Swee Kiat,https://www.investing.com/equities/lee-swee-kiat-group-bhd,1.040,1.040,1.030,+0.010,+0.97%,119.50K
Microlink Solutions,https://www.investing.com/equities/microlink-solutions-bhd,0.520,0.520,0.470,0.000,0.00%,118.80K
mTouche Tech,https://www.investing.com/equities/mtouche-technology-bhd,0.105,0.105,0.105,-0.005,-4.55%,117.80K
Menang Corp,https://www.investing.com/equities/menang-corporation-(m)-bhd,0.420,0.450,0.420,-0.005,-1.18%,116.40K
Marine General,https://www.investing.com/equities/silk-holdings-bhd,0.095,0.095,0.095,-0.005,-5.00%,116.10K
Merge Energy,https://www.investing.com/equities/merge-energy-bhd,0.280,0.280,0.270,0.000,0.00%,116.00K
Talam Transform,https://www.investing.com/equities/talam-transform-bhd,0.040,0.040,0.035,+0.005,+14.29%,115.30K
Rev Asia,https://www.investing.com/equities/rev-asia-bhd,0.300,0.300,0.295,-0.010,-3.23%,115.00K
Bonia Corp,https://www.investing.com/equities/bonia-corporation-bhd,0.405,0.415,0.405,0.000,0.00%,112.90K
Lii Hen Industries,https://www.investing.com/equities/lii-hen-industries-bhd,2.890,2.920,2.880,-0.030,-1.03%,112.60K
Spritzer,https://www.investing.com/equities/spritzer-bhd,2.340,2.350,2.340,-0.010,-0.43%,112.00K
Hock Seng Lee,https://www.investing.com/equities/hock-seng-lee-bhd,1.380,1.390,1.370,0.000,0.00%,111.50K
Komarkcorp Bhd,https://www.investing.com/equities/komarkcorp-bhd,0.150,0.150,0.145,0.000,0.00%,110.00K
Khee San,https://www.investing.com/equities/khee-san-bhd,0.585,0.585,0.570,0.000,0.00%,109.00K
Binasat Communications,https://www.investing.com/equities/binasat-communications,0.425,0.435,0.425,-0.005,-1.16%,109.00K
Chin Well,https://www.investing.com/equities/chin-well-holdings-bhd,1.620,1.650,1.620,-0.030,-1.82%,108.00K
Pelangi Publishing Group,https://www.investing.com/equities/pelangi-publishing-group,0.410,0.420,0.410,0.000,0.00%,105.20K
Cypark Res Berhad,https://www.investing.com/equities/cypark-resources-berhad,2.390,2.390,2.380,0.000,0.00%,104.70K
Rhone Ma,https://www.investing.com/equities/rhone-ma-holdings-bhd,0.800,0.800,0.790,0.000,0.00%,104.10K
ELK-Desa Resources,https://www.investing.com/equities/elk-desa-resources-bhd,1.180,1.180,1.170,0.000,0.00%,104.00K
Berjaya Food,https://www.investing.com/equities/berjaya-food-bhd,1.400,1.410,1.380,0.000,0.00%,103.00K
Green Packet,https://www.investing.com/equities/green-packet-bhd,0.370,0.375,0.370,0.000,0.00%,102.60K
BTM Resources,https://www.investing.com/equities/btm-resources-bhd,0.130,0.140,0.125,-0.005,-3.70%,102.10K
Able,https://www.investing.com/equities/ablegroup-bhd,0.100,0.100,0.095,+0.005,+5.26%,100.50K
Multi Sports,https://www.investing.com/equities/multi-sports-holdings-ltd,0.020,0.020,0.020,0.000,0.00%,100.00K
Tomei Consolidated,https://www.investing.com/equities/tomei-consolidated-bhd,0.535,0.535,0.535,0.000,0.00%,100.00K
Ancom Logistics,https://www.investing.com/equities/ancom-logistics-bhd,0.080,0.080,0.080,+0.000,+0.00%,100.00K
MMC Corp,https://www.investing.com/equities/mmc-corporation-bhd,1.360,1.360,1.350,0.000,0.00%,98.90K
Power Root,https://www.investing.com/equities/power-root-bhd,1.550,1.590,1.540,-0.030,-1.90%,98.70K
Astino,https://www.investing.com/equities/astino-bhd,0.840,0.840,0.830,-0.010,-1.18%,98.10K
Berjaya Assets,https://www.investing.com/equities/berjaya-assets-bhd,0.295,0.295,0.290,0.000,0.00%,97.40K
YGL Convergence,https://www.investing.com/equities/ygl-convergence-bhd,0.130,0.130,0.130,0.000,0.00%,97.10K
Kuchai Develop,https://www.investing.com/equities/kuchai-develop-bhd,1.950,1.960,1.900,-0.010,-0.51%,96.60K
Formosa Prosonic,https://www.investing.com/equities/formosa-prosonic-industries,1.420,1.440,1.410,-0.010,-0.70%,95.60K
Asian Pac,https://www.investing.com/equities/asian-pac-holdings-bhd,0.145,0.145,0.145,0.000,0.00%,95.00K
United U Li Corporation,https://www.investing.com/equities/united-u-li-corporation,0.695,0.695,0.690,0.000,0.00%,94.50K
Mexter Technology,https://www.investing.com/equities/mexter-technology-bhd,0.405,0.415,0.405,-0.005,-1.22%,93.10K
PIE Industrial Bhd,https://www.investing.com/equities/pie-industrial-bhd,1.380,1.380,1.360,+0.010,+0.73%,91.30K
Hovid,https://www.investing.com/equities/hovid-bhd,0.335,0.335,0.335,0.000,0.00%,88.00K
D O Green Tech,https://www.investing.com/equities/d-o-green-technologies-bhd,0.730,0.730,0.720,0.000,0.00%,87.70K
Ta Win Holdings Bhd,https://www.investing.com/equities/ta-win-holdings-bhd,0.575,0.580,0.555,+0.005,+0.88%,86.10K
Public Packages Holdings,https://www.investing.com/equities/public-packages-holdings,0.585,0.590,0.585,0.000,0.00%,84.80K
GPA,https://www.investing.com/equities/gpa-holdings-bhd,0.090,0.090,0.090,0.000,0.00%,84.00K
Ta Ann,https://www.investing.com/equities/ta-ann-holdings-bhd,2.76,2.76,2.69,+0.01,+0.36%,83.70K
EP Manufacturing,https://www.investing.com/equities/ep-manufacturing-bhd,0.465,0.465,0.450,+0.020,+4.49%,83.00K
Meda Inc,https://www.investing.com/equities/meda-inc-bhd,0.365,0.365,0.345,-0.005,-1.35%,83.00K
AmFIRST,https://www.investing.com/equities/amfirst,0.595,0.595,0.595,-0.005,-0.83%,82.50K
Willowglen MSC,https://www.investing.com/equities/willowglen-msc-bhd,0.465,0.465,0.465,0.000,0.00%,82.00K
Sunway Real Estate Invest Trust,https://www.investing.com/equities/sunway-real-estate-invest-trust,1.740,1.740,1.730,+0.010,+0.58%,80.30K
British American Tobacco,https://www.investing.com/equities/british-american-tobacco?cid=41636,33.18,33.18,32.90,-0.12,-0.36%,76.00K
Rimbunan Sawit,https://www.investing.com/equities/rimbunan-sawit-bhd,0.250,0.250,0.240,0.000,0.00%,76.00K
I-Berhad,https://www.investing.com/equities/i-bhd,0.505,0.505,0.500,0.000,0.00%,76.00K
Tropicana Corp,https://www.investing.com/equities/tropicana-corporation-bhd,0.855,0.855,0.840,+0.005,+0.59%,75.20K
Yoong Onn Corp,https://www.investing.com/equities/yoong-onn-corporation-bhd,1.130,1.150,1.100,+0.010,+0.89%,74.10K
Eupe Corp,https://www.investing.com/equities/eupe-corporation-bhd,0.735,0.735,0.720,+0.015,+2.08%,73.90K
MPHB Capital,https://www.investing.com/equities/mphb-capital-bhd,1.230,1.250,1.210,0.000,0.00%,73.10K
Yong Tai Pref,https://www.investing.com/equities/yong-tai-bhd-pref,0.690,0.690,0.680,-0.010,-1.43%,72.00K
Carlsberg Brewery,https://www.investing.com/equities/carlsberg-brewery-malaysia-bhd,19.98,19.98,19.72,+0.30,+1.52%,71.60K
ConnectCounty,https://www.investing.com/equities/connectcounty-holdings-bhd,0.140,0.140,0.140,+0.000,+0.00%,71.60K
ZECON,https://www.investing.com/equities/zecon-bhd,0.345,0.350,0.345,-0.010,-2.82%,70.60K
K Seng Seng Corp,https://www.investing.com/equities/k-seng-seng-corporation-bhd,0.390,0.390,0.370,+0.025,+6.85%,70.10K
Poh Kong,https://www.investing.com/equities/poh-kong-holdings-bhd,0.485,0.490,0.480,-0.005,-1.02%,70.10K
Wong Engineering Corp,https://www.investing.com/equities/wong-engineering-corp,0.900,0.905,0.890,-0.035,-3.74%,69.30K
TMC Life Sciences Bhd,https://www.investing.com/equities/tmc-life-sciences-bhd,0.745,0.750,0.725,+0.010,+1.36%,68.80K
ES Ceramics Technology Bhd,https://www.investing.com/equities/es-ceramics-technology-bhd,0.200,0.200,0.200,+0.005,+2.56%,65.00K
Mwe,https://www.investing.com/equities/mwe-holdings-bhd,1.740,1.750,1.740,+0.010,+0.58%,64.30K
Muar Ban Lee Group Bhd,https://www.investing.com/equities/muar-ban-lee-group-bhd,1.120,1.180,1.100,-0.050,-4.27%,64.10K
Hup Seng Industries,https://www.investing.com/equities/hup-seng-industries-bhd,1.050,1.050,1.040,0.000,0.00%,63.70K
Vertice,https://www.investing.com/equities/voir-holdings-bhd,0.900,0.900,0.880,0.000,0.00%,62.10K
TAFI Industries,https://www.investing.com/equities/tafi-industries-bhd,0.360,0.360,0.345,+0.030,+9.09%,62.00K
JF Tech,https://www.investing.com/equities/jf-tech,0.870,0.870,0.840,+0.015,+1.75%,61.60K
Pimpinan Eshan,https://www.investing.com/equities/triplc-bhd,0.780,0.780,0.765,+0.015,+1.96%,60.90K
Johan,https://www.investing.com/equities/johan-holdings-bhd,0.125,0.125,0.120,0.000,0.00%,60.00K
SCH Group Bhd,https://www.investing.com/equities/sch-group-bhd,0.160,0.160,0.160,-0.005,-3.03%,60.00K
Aeon Credit Service,https://www.investing.com/equities/aeon-credit-service-(m)-bhd,15.70,15.76,15.64,+0.02,+0.13%,59.50K
Sarawak Oil Palms,https://www.investing.com/equities/sarawak-oil-palms-bhd,2.800,2.800,2.780,+0.030,+1.08%,58.30K
Eonmetall,https://www.investing.com/equities/eonmetall-group-bhd,0.460,0.470,0.450,0.000,0.00%,57.50K
Plenitude,https://www.investing.com/equities/plenitude-bhd,1.490,1.490,1.450,+0.050,+3.47%,56.90K
Oka Corporation Bhd,https://www.investing.com/equities/oka-corporation-bhd,1.230,1.230,1.220,0.000,0.00%,56.80K
Nylex Malaysia Bhd,https://www.investing.com/equities/nylex-malaysia-bhd,0.670,0.670,0.625,+0.040,+6.35%,56.60K
Boilermech,https://www.investing.com/equities/boilermech-holdings-bhd,0.670,0.670,0.665,+0.005,+0.75%,56.50K
PCCS,https://www.investing.com/equities/pccs-group-bhd,0.240,0.240,0.235,0.000,0.00%,56.50K
Ge Shen Corp,https://www.investing.com/equities/ge-shen-corporation-bhd,0.980,1.000,0.980,-0.020,-2.00%,56.40K
Ajiya,https://www.investing.com/equities/ajiya-bhd,0.595,0.595,0.590,0.000,0.00%,56.00K
Red Sena Bhd,https://www.investing.com/equities/red-sena-bhd,0.480,0.480,0.480,0.000,0.00%,56.00K
ABM Fujiya,https://www.investing.com/equities/abm-fujiya-bhd,0.500,0.540,0.500,-0.050,-9.09%,55.00K
Hexza Corp,https://www.investing.com/equities/hexza-corporation-bhd,0.700,0.700,0.695,+0.005,+0.72%,55.00K
Mulpha Int,https://www.investing.com/equities/mulpha-international-bhd,2.150,2.150,2.110,0.000,0.00%,54.90K
Prestar Resources Bhd,https://www.investing.com/equities/prestar-resources-bhd,0.765,0.765,0.745,+0.015,+2.00%,54.70K
Uzma Bhd,https://www.investing.com/equities/uzma-bhd,1.130,1.160,1.120,0.000,0.00%,52.60K
Landmarks,https://www.investing.com/equities/landmarks-bhd,0.665,0.665,0.660,+0.010,+1.53%,52.00K
Panasonic Manufacture,https://www.investing.com/equities/panasonic-manufacture-malaysia,38.460,38.760,38.260,-0.200,-0.52%,51.90K
Mega First Corp,https://www.investing.com/equities/mega-first-corporation-bhd,3.460,3.470,3.440,-0.020,-0.57%,51.80K
LBI Capital,https://www.investing.com/equities/lbi-capital-bhd,0.845,0.845,0.840,0.000,0.00%,51.30K
Hume Industries,https://www.investing.com/equities/hume-industries-bhd,0.910,0.940,0.905,+0.005,+0.55%,50.70K
TIME Dotcom,https://www.investing.com/equities/time-dotcom-bhd,8.18,8.22,8.06,-0.01,-0.12%,50.40K
ECS ICT,https://www.investing.com/equities/ecs-ict-bhd,0.995,0.995,0.985,+0.005,+0.51%,50.10K
Harbour Link,https://www.investing.com/equities/harbour-link-group-bhd,0.720,0.720,0.700,+0.015,+2.13%,50.10K
SMRT,https://www.investing.com/equities/smrt-holdings-bhd,0.140,0.140,0.140,-0.005,-3.45%,49.60K
AE Multi,https://www.investing.com/equities/ae-multi-holdings-bhd,0.120,0.120,0.120,0.000,0.00%,47.00K
Kim Loong Resources,https://www.investing.com/equities/kim-loong-resources-bhd,1.320,1.330,1.310,0.000,0.00%,47.00K
Heineken,https://www.investing.com/equities/guinness-anchor-bhd,21.000,21.100,21.000,-0.020,-0.10%,46.20K
PMB Technology Bhd,https://www.investing.com/equities/pmb-technology-bhd,3.310,3.310,3.270,+0.030,+0.91%,46.00K
HCK Capital,https://www.investing.com/equities/hck-capital-group-bhd,1.280,1.280,1.260,+0.020,+1.59%,45.20K
Prolexus,https://www.investing.com/equities/prolexus-bhd,0.710,0.710,0.705,+0.005,+0.71%,44.40K
Crest Builder,https://www.investing.com/equities/crest-builder-holdings-bhd,0.880,0.885,0.855,+0.010,+1.15%,44.10K
Lafarge Malayan Cement,https://www.investing.com/equities/lafarge-malayan-cement-bhd,3.00,3.00,2.95,+0.02,+0.67%,43.80K
