name,link,last,high,low,change,change_percent,volume
Tong Herr Resources Bhd,https://www.investing.com/equities/tong-herr-resources-bhd,3.820,3.860,3.820,0.000,0.00%,43.80K
G3 Global,https://www.investing.com/equities/yen-global-bhd,0.730,0.750,0.700,+0.035,+5.04%,43.00K
Hua Yang,https://www.investing.com/equities/hua-yang-bhd,0.460,0.465,0.445,+0.005,+1.10%,42.50K
Sycal Ventures,https://www.investing.com/equities/sycal-ventures-bhd,0.240,0.240,0.235,-0.005,-2.04%,42.00K
Handal Resources,https://www.investing.com/equities/handal-resources-bhd,0.370,0.375,0.365,-0.005,-1.33%,41.90K
Asia File Corp,https://www.investing.com/equities/asia-file-corporation-bhd,2.600,2.610,2.600,-0.020,-0.76%,41.40K
JMR Conglomeration,https://www.investing.com/equities/jmr-conglomeration-bhd,1.070,1.070,1.060,+0.010,+0.94%,40.00K
LFE Corp,https://www.investing.com/equities/lfe-corporation-bhd,0.120,0.120,0.120,0.000,0.00%,40.00K
SWS Capital,https://www.investing.com/equities/sws-capital-bhd,0.770,0.770,0.745,0.000,0.00%,40.00K
SIG Gases Bhd,https://www.investing.com/equities/sig-gases-bhd,0.760,0.780,0.760,-0.025,-3.18%,40.00K
Brite Tech,https://www.investing.com/equities/brite-tech-bhd,0.240,0.250,0.240,-0.015,-5.88%,40.00K
HeiTech Padu,https://www.investing.com/equities/heitech-padu-bhd,0.500,0.540,0.500,0.000,0.00%,39.50K
Gunung Capital,https://www.investing.com/equities/gunung-capital-bhd,0.375,0.375,0.355,+0.025,+7.14%,39.00K
Plastrade Tech,https://www.investing.com/equities/plastrade-technology-bhd,0.195,0.195,0.190,+0.005,+2.63%,39.00K
Thong Guan Industries Bhd,https://www.investing.com/equities/thong-guan-industries-bhd,2.600,2.630,2.600,-0.050,-1.89%,38.40K
Sarawak Plantation,https://www.investing.com/equities/sarawak-plantation-bhd,1.800,1.800,1.730,+0.050,+2.86%,36.60K
Ajinomoto Malaysia,https://www.investing.com/equities/ajinomoto-(malaysia)-bhd,21.820,21.820,20.940,+0.820,+3.90%,35.60K
Pharmaniaga Bhd,https://www.investing.com/equities/pharmaniaga-bhd,2.940,2.960,2.940,-0.010,-0.34%,35.30K
EKA Noodles,https://www.investing.com/equities/eka-noodles-bhd,0.080,0.080,0.075,+0.005,+6.67%,35.10K
Hil Industries,https://www.investing.com/equities/hil-industries-bhd,0.630,0.630,0.630,+0.010,+1.61%,35.10K
Jerasia Capital,https://www.investing.com/equities/jerasia-capital-bhd,0.385,0.405,0.385,-0.035,-8.33%,35.00K
YLI Holdings Bhd,https://www.investing.com/equities/yli-holdings-bhd,0.340,0.340,0.340,-0.010,-2.86%,35.00K
SCC,https://www.investing.com/equities/scc-holdings-bhd,0.500,0.500,0.495,+0.005,+1.01%,35.00K
MGB,https://www.investing.com/equities/ml-global-bhd,0.900,0.900,0.890,0.000,0.00%,33.90K
Kobay Tech,https://www.investing.com/equities/kobay-tech-bhd,1.450,1.450,1.420,+0.020,+1.40%,33.60K
Damansara Realty,https://www.investing.com/equities/damansara-realty-bhd,0.355,0.355,0.315,+0.040,+12.70%,33.20K
Bintai Kinden Corp,https://www.investing.com/equities/bintai-kinden-corporation-bhd,0.155,0.155,0.155,0.000,0.00%,33.00K
KKB Engineering Berhad,https://www.investing.com/equities/kkb-engineering-berhad,0.875,0.875,0.840,+0.005,+0.57%,32.80K
Sentoria,https://www.investing.com/equities/sentoria-group-bhd,0.500,0.500,0.480,+0.005,+1.01%,31.90K
Country Heights,https://www.investing.com/equities/country-heights-holdings-bhd,1.340,1.340,1.330,+0.020,+1.52%,31.70K
Pasukhas Group,https://www.investing.com/equities/pasukhas-group-bhd,0.105,0.110,0.105,-0.010,-8.70%,31.50K
Magni Tech Ind,https://www.investing.com/equities/magni-tech-industries-bhd,4.700,4.790,4.660,+0.040,+0.86%,31.20K
Eksons Corp,https://www.investing.com/equities/eksons-corp-bhd,0.825,0.825,0.810,0.000,0.00%,31.00K
Mudajaya,https://www.investing.com/equities/mudajaya-group-bhd,0.455,0.455,0.455,0.000,0.00%,30.00K
Brem Holding,https://www.investing.com/equities/brem-holding-bhd,0.825,0.825,0.825,0.000,0.00%,30.00K
GETS Global,https://www.investing.com/equities/kbes-bhd,0.165,0.165,0.165,-0.005,-2.94%,30.00K
Signature Int,https://www.investing.com/equities/signature-international-bhd,0.490,0.490,0.490,0.000,0.00%,30.00K
Kumpulan Powernet Bhd,https://www.investing.com/equities/kumpulan-powernet-bhd,0.535,0.535,0.515,+0.020,+3.88%,30.00K
Mega Sun City,https://www.investing.com/equities/mega-sun-city-holdings-bhd,0.215,0.215,0.215,0.000,0.00%,30.00K
Deleum,https://www.investing.com/equities/deleum-bhd,0.970,0.990,0.960,-0.015,-1.52%,29.50K
Pavilion REIT,https://www.investing.com/equities/pavilion-real-estate-inv-trust,1.640,1.640,1.630,+0.010,+0.61%,29.10K
GUH,https://www.investing.com/equities/guh-holdings-bhd,0.605,0.605,0.605,-0.025,-3.97%,29.10K
Ho Hup Construction,https://www.investing.com/equities/ho-hup-construction-company,0.425,0.425,0.415,+0.005,+1.19%,26.50K
Homeritz Corp,https://www.investing.com/equities/homeritz-corporation-bhd,0.730,0.730,0.725,0.000,0.00%,26.50K
Oriental,https://www.investing.com/equities/oriental-holdings-bhd,6.320,6.320,6.280,+0.040,+0.64%,25.60K
Oceancash Pacific,https://www.investing.com/equities/oceancash-pacific-bhd,0.555,0.555,0.540,-0.005,-0.89%,25.40K
Al-Salam Real Estate,https://www.investing.com/equities/al-salam-real-estate-investment,0.875,0.875,0.830,+0.045,+5.42%,25.40K
Bright Packaging,https://www.investing.com/equities/bright-packaging-industry-bhd,0.200,0.200,0.200,0.000,0.00%,25.00K
Encorp,https://www.investing.com/equities/encorp-bhd,0.450,0.455,0.450,-0.030,-6.25%,25.00K
Quality Concrete Holdings Bhd,https://www.investing.com/equities/quality-concrete-holdings-bhd,0.800,0.800,0.780,+0.095,+13.48%,24.50K
Leon Fuat,https://www.investing.com/equities/leon-fuat-bhd,0.600,0.610,0.600,0.000,0.00%,24.30K
Asia Poly,https://www.investing.com/equities/asia-poly-holdings-bhd,0.080,0.085,0.080,-0.005,-5.88%,24.30K
Kumpulan Fima,https://www.investing.com/equities/kumpulan-fima-bhd,1.680,1.700,1.680,-0.020,-1.18%,24.20K
Nestle,https://www.investing.com/equities/nestle-(malaysia)-bhd,146.800,146.800,146.600,+0.200,+0.14%,24.20K
Jaycorp,https://www.investing.com/equities/jaycorp-bhd,0.910,0.910,0.910,0.000,0.00%,24.00K
Solid Automotive,https://www.investing.com/equities/solid-automotive-bhd,0.310,0.315,0.300,-0.005,-1.59%,23.90K
Insas,https://www.investing.com/equities/insas-bhd,0.840,0.845,0.835,-0.005,-0.59%,23.60K
Ornapaper Bhd,https://www.investing.com/equities/ornapaper-bhd,1.110,1.120,1.110,0.000,0.00%,23.50K
Hwa Tai Industries,https://www.investing.com/equities/hwa-tai-industries-bhd,0.330,0.330,0.330,-0.005,-1.49%,23.40K
SBC Corp,https://www.investing.com/equities/sbc-corp-bhd,0.475,0.475,0.470,+0.005,+1.06%,23.00K
TSH Resources,https://www.investing.com/equities/tsh-resources-bhd,1.170,1.200,1.160,+0.010,+0.86%,22.80K
Kumpulan Jetson,https://www.investing.com/equities/kumpulan-jetson-bhd,0.210,0.210,0.200,+0.010,+5.00%,22.20K
South Malaysia Ind,https://www.investing.com/equities/south-malaysia-industries-bhd,0.190,0.195,0.190,+0.005,+2.70%,22.00K
Can One,https://www.investing.com/equities/can-one-bhd,2.300,2.300,2.300,0.000,0.00%,21.50K
Hong Leong Ind,https://www.investing.com/equities/hong-leong-industries-bhd,10.980,11.040,10.980,-0.040,-0.36%,21.30K
IQ,https://www.investing.com/equities/iq-group-holdings-bhd,1.370,1.390,1.370,-0.050,-3.52%,21.20K
Amanah Harta Tanah,https://www.investing.com/equities/amanah-harta-tanah,0.770,0.770,0.770,+0.000,+0.00%,20.90K
Aluminium Malaysia,https://www.investing.com/equities/aluminium-company-of-malaysia,0.700,0.725,0.700,-0.025,-3.45%,20.00K
Chin Hin Property,https://www.investing.com/equities/boon-koon-group-bhd,0.450,0.450,0.450,+0.005,+1.12%,20.00K
Master Pack,https://www.investing.com/equities/master-pack-group-bhd,0.615,0.630,0.615,0.000,0.00%,20.00K
SHH Resources,https://www.investing.com/equities/shh-resources-holdings-bhd,0.750,0.755,0.745,+0.010,+1.35%,20.00K
M N C Wireless,https://www.investing.com/equities/m-n-c-wireless-bhd,0.055,0.055,0.055,-0.005,-8.33%,20.00K
BP Plastics,https://www.investing.com/equities/bp-plastics-holding-bhd,1.040,1.040,1.010,+0.030,+2.97%,19.80K
Zhulian Corp,https://www.investing.com/equities/zhulian-corporation-bhd,1.410,1.420,1.410,-0.010,-0.70%,19.10K
Ireka Corp,https://www.investing.com/equities/ireka-corporation-bhd,0.560,0.565,0.550,-0.010,-1.75%,19.00K
Reliance Pacific,https://www.investing.com/equities/reliance-pacific-bhd,0.245,0.255,0.245,0.000,0.00%,19.00K
Batu Kawan,https://www.investing.com/equities/batu-kawan-bhd,16.840,16.960,16.800,-0.120,-0.71%,18.50K
Pan Malaysia Corp,https://www.investing.com/equities/pan-malaysia-corporation-bhd,0.155,0.155,0.155,0.000,0.00%,18.50K
Kumpulan H L High Tech,https://www.investing.com/equities/kumpulan-h-l-high-tech,1.350,1.370,1.340,0.000,0.00%,18.20K
Perusahaan Sadur Timah,https://www.investing.com/equities/perusahaan-sadur-timah,4.820,4.850,4.820,-0.030,-0.62%,17.80K
Cycle Carriage Bintang,https://www.investing.com/equities/cycle-carriage-bintang-bhd,1.910,1.910,1.860,+0.020,+1.06%,17.00K
Innoprise Plantations,https://www.investing.com/equities/innoprise-plantations-bhd,0.760,0.765,0.760,-0.010,-1.30%,17.00K
Tadmax Resources Bhd,https://www.investing.com/equities/tadmax-resources-bhd,0.205,0.205,0.205,+0.000,+0.00%,17.00K
White Horse Bhd,https://www.investing.com/equities/white-horse-bhd,1.700,1.700,1.680,0.000,0.00%,17.00K
Hektar REIT,https://www.investing.com/equities/hektar-reit,1.22,1.23,1.22,-0.01,-0.81%,17.00K
Dolphin International Bhd,https://www.investing.com/equities/dolphin-international-bhd,0.115,0.115,0.110,+0.010,+9.52%,16.80K
Kim Hin Industry Bhd,https://www.investing.com/equities/kim-hin-industry-bhd,1.240,1.240,1.230,-0.010,-0.80%,16.70K
ATTA Global Pref,https://www.investing.com/equities/atta-global-pref,0.165,0.165,0.165,0.000,0.00%,16.00K
Kawan Food,https://www.investing.com/equities/kawan-food-bhd,2.200,2.200,2.200,-0.040,-1.79%,15.50K
Scope Industries Bhd,https://www.investing.com/equities/scope-industries-bhd,0.140,0.145,0.140,-0.010,-6.67%,15.30K
Sapura Resources,https://www.investing.com/equities/sapura-resources-bhd,0.780,0.780,0.780,+0.040,+5.41%,15.00K
OCR,https://www.investing.com/equities/takaso-resources-bhd,0.380,0.380,0.380,-0.020,-5.00%,15.00K
Lien Hoe Corp,https://www.investing.com/equities/lien-hoe-corporation-bhd,0.330,0.330,0.310,0.000,0.00%,14.00K
KLCC Property,https://www.investing.com/equities/klcc-prop-reits---stapled-sec,7.76,7.77,7.69,-0.01,-0.13%,13.20K
Pasdec,https://www.investing.com/equities/pasdec-holdings-bhd,0.435,0.435,0.410,+0.015,+3.57%,13.10K
Selangor Properties,https://www.investing.com/equities/selangor-properties-bhd,4.080,4.080,4.050,-0.020,-0.49%,13.00K
Apex Healthcare,https://www.investing.com/equities/apex-healthcare-bhd,7.640,7.640,7.600,0.000,0.00%,12.90K
LTKM,https://www.investing.com/equities/ltkm-bhd,0.910,0.910,0.900,0.000,0.00%,12.50K
FSBM,https://www.investing.com/equities/fsbm-holdings-bhd,0.220,0.220,0.220,-0.010,-4.35%,12.10K
Chee Wah,https://www.investing.com/equities/chee-wah-corp-bhd,0.480,0.480,0.475,-0.020,-4.00%,12.00K
MUI Properties,https://www.investing.com/equities/mui-properties-bhd,0.240,0.240,0.240,-0.010,-4.00%,12.00K
Adventa,https://www.investing.com/equities/adventa-bhd,0.475,0.515,0.425,-0.030,-5.94%,11.90K
TH Plantations,https://www.investing.com/equities/th-plantations-bhd,0.680,0.680,0.680,0.000,0.00%,11.80K
Kian Joo Can Factory Bhd,https://www.investing.com/equities/kian-joo-can-factory-bhd,2.540,2.570,2.530,-0.010,-0.39%,11.30K
Leweko Resources Bhd,https://www.investing.com/equities/leweko-resources-bhd,0.210,0.210,0.200,+0.010,+5.00%,11.00K
Selangor Dredging,https://www.investing.com/equities/selangor-dredging-bhd,0.760,0.760,0.755,+0.005,+0.66%,10.50K
Keck Seng Malaysia,https://www.investing.com/equities/keck-seng-malaysia-bhd,4.050,4.070,4.020,-0.010,-0.25%,10.40K
Tex Cycle Technology M Bhd,https://www.investing.com/equities/tex-cycle-technology-m-bhd,0.600,0.610,0.600,-0.005,-0.83%,10.40K
United Malacca,https://www.investing.com/equities/united-malacca-bhd,6.150,6.150,6.130,+0.020,+0.33%,10.30K
Atrium,https://www.investing.com/equities/atrium,1.11,1.11,1.09,+0.01,+0.91%,10.30K
Dutch Lady Milk,https://www.investing.com/equities/dutch-lady-milk-industries-bhd,65.52,65.90,65.50,-0.40,-0.61%,10.10K
Cepatwawasan,https://www.investing.com/equities/cepatwawasan-group-bhd,0.695,0.695,0.670,+0.020,+2.96%,10.10K
Utusan Melayu Malaysia Bhd,https://www.investing.com/equities/utusan-melayu-malaysia-bhd,0.170,0.180,0.170,0.000,0.00%,10.10K
LB Aluminium Bhd,https://www.investing.com/equities/lb-aluminium-bhd,0.560,0.560,0.560,-0.015,-2.61%,10.00K
Suiwah Corporation Bhd,https://www.investing.com/equities/suiwah-corporation-bhd,2.300,2.300,2.300,-0.040,-1.71%,10.00K
Tasco Bhd,https://www.investing.com/equities/tasco-bhd,1.640,1.640,1.640,+0.050,+3.14%,10.00K
EITA Resources,https://www.investing.com/equities/eita-resources-bhd,1.280,1.280,1.280,+0.010,+0.79%,10.00K
Heng Huat Resources,https://www.investing.com/equities/heng-huat-resources-group-bhd,0.190,0.190,0.190,+0.000,+0.00%,10.00K
Rexit,https://www.investing.com/equities/rexit-bhd,0.655,0.655,0.655,0.000,0.00%,10.00K
NTPM,https://www.investing.com/equities/ntpm-holdings-bhd,0.550,0.550,0.550,+0.005,+0.92%,9.50K
MESB Bhd,https://www.investing.com/equities/mesb-bhd,0.285,0.290,0.285,0.000,0.00%,9.10K
Grand Central Enterprises,https://www.investing.com/equities/grand-central-enterprises-bhd,0.495,0.495,0.495,+0.005,+1.02%,9.10K
Tri-Mode,https://www.investing.com/equities/tri-mode,0.465,0.465,0.465,+0.000,+0.00%,9.00K
Wellcall Holdings Bhd,https://www.investing.com/equities/wellcall-holdings-bhd,1.260,1.260,1.250,-0.020,-1.56%,8.80K
Fima Corp,https://www.investing.com/equities/fima-corporation-bhd,1.880,1.890,1.870,+0.020,+1.08%,8.50K
Tan Chong Motor,https://www.investing.com/equities/tan-chong-motor-holdings-bhd,1.710,1.710,1.710,+0.000,+0.00%,8.40K
Allianz Malaysia,https://www.investing.com/equities/allianz-malaysia-bhd,12.900,13.000,12.860,0.000,0.00%,8.30K
KESM Industries,https://www.investing.com/equities/kesm-industries-bhd,17.280,17.300,17.100,-0.020,-0.12%,8.30K
CN Asia Corp,https://www.investing.com/equities/cn-asia-corporation-bhd,0.510,0.510,0.450,-0.005,-0.97%,8.20K
Aturmaju Resources,https://www.investing.com/equities/aturmaju-resources-bhd,0.300,0.300,0.285,+0.015,+5.26%,8.10K
MHC Plantations,https://www.investing.com/equities/mhc-plantations-bhd,0.740,0.740,0.700,0.000,0.00%,8.10K
Apex Equity,https://www.investing.com/equities/apex-equity-holdings-bhd,0.930,0.930,0.930,0.000,0.00%,8.00K
S P Setia Pref,https://www.investing.com/equities/s-p-setia-bhd,0.970,0.970,0.970,-0.010,-1.02%,8.00K
Sam Engineering Equip,https://www.investing.com/equities/sam-engineering-equipment,7.480,7.500,7.480,-0.060,-0.80%,7.80K
United Plantations,https://www.investing.com/equities/united-plantations-bhd,26.700,26.700,26.700,+0.100,+0.38%,7.20K
GuocoLand,https://www.investing.com/equities/guocoland-(malaysia)-bhd,0.855,0.855,0.845,-0.005,-0.58%,7.10K
Southern Acids M Bhd,https://www.investing.com/equities/southern-acids-m-bhd,3.850,3.900,3.850,-0.050,-1.28%,7.00K
Rohas Tecnic,https://www.investing.com/equities/tecnic-group-bhd,1.110,1.110,1.110,0.000,0.00%,7.00K
SEG International Bhd,https://www.investing.com/equities/seg-international-bhd,0.635,0.635,0.635,-0.010,-1.55%,7.00K
A Rank,https://www.investing.com/equities/a-rank-bhd,0.700,0.700,0.700,0.000,0.00%,6.70K
Turbo Mech Bhd,https://www.investing.com/equities/turbo-mech-bhd,0.740,0.740,0.710,0.000,0.00%,6.50K
Malaysia Smelting,https://www.investing.com/equities/malaysia-smelting-corp,0.775,0.775,0.750,+0.020,+2.65%,6.40K
UOA REIT,https://www.investing.com/equities/uoa-reit,1.420,1.420,1.400,+0.020,+1.43%,6.20K
Country View,https://www.investing.com/equities/country-view-bhd,1.380,1.380,1.380,-0.020,-1.43%,6.00K
Inch Kenneth Kajang Rubber,https://www.investing.com/equities/inch-kenneth-kajang-rubber-plc,0.670,0.670,0.665,0.000,0.00%,6.00K
Tien Wah Press Holdings,https://www.investing.com/equities/tien-wah-press-holdings,1.520,1.520,1.520,0.000,0.00%,6.00K
Boustead Heavy Ind,https://www.investing.com/equities/boustead-heavy-industries,1.360,1.370,1.340,0.000,0.00%,5.90K
MBM Resources,https://www.investing.com/equities/mbm-resources-bhd,2.310,2.310,2.260,+0.050,+2.21%,5.50K
Mycron Steel Bhd,https://www.investing.com/equities/mycron-steel-bhd,0.380,0.380,0.380,0.000,0.00%,5.50K
Sunsuria Bhd,https://www.investing.com/equities/sunsuria-bhd,0.920,0.920,0.900,+0.005,+0.55%,5.40K
Dominant Enterprise,https://www.investing.com/equities/dominant-enterprise-bhd,1.300,1.330,1.290,-0.050,-3.70%,5.10K
Hap Seng Plantations,https://www.investing.com/equities/hap-seng-plantations-holdings-bhd,2.190,2.190,2.190,0.000,0.00%,5.00K
Analabs Resources,https://www.investing.com/equities/analabs-resources-bhd,2.560,2.560,2.560,+0.030,+1.19%,5.00K
APB Resources,https://www.investing.com/equities/apb-resources-bhd,0.830,0.830,0.830,+0.000,+0.00%,5.00K
DKSH Malaysia Berhad,https://www.investing.com/equities/dksh-holdings-malaysia-berhad,3.550,3.550,3.550,0.000,0.00%,5.00K
Dolomite Corp,https://www.investing.com/equities/dolomite-corporation-bhd,0.140,0.140,0.140,0.000,0.00%,5.00K
Freight Management,https://www.investing.com/equities/freight-management-holdings,1.070,1.070,1.070,0.000,0.00%,5.00K
Golden Land,https://www.investing.com/equities/golden-land-bhd,0.450,0.450,0.450,0.000,0.00%,5.00K
Ipmuda,https://www.investing.com/equities/ipmuda-bhd,0.700,0.700,0.700,+0.030,+4.48%,5.00K
Pacific Orient,https://www.investing.com/equities/pacific-orient-bhd,1.040,1.040,1.030,0.000,0.00%,5.00K
Caring Pharmacy,https://www.investing.com/equities/caring-pharmacy-group-bhd,1.640,1.650,1.640,-0.010,-0.61%,4.90K
Amway,https://www.investing.com/equities/amway-(malaysia)-holdings-bhd,7.000,7.000,6.950,+0.050,+0.72%,4.50K
Lambo,https://www.investing.com/equities/accsoft-technology-bhd,0.1400,0.1400,0.1400,0.0000,0.00%,4.30K
Enra Group,https://www.investing.com/equities/perduren-(m)-bhd,2.050,2.050,1.900,0.000,0.00%,4.10K
AWC,https://www.investing.com/equities/awc-bhd,0.755,0.760,0.755,-0.005,-0.66%,4.00K
Scicom MSC Bhd,https://www.investing.com/equities/scicom-msc-bhd,1.870,1.870,1.840,+0.010,+0.54%,4.00K
LPI Capital,https://www.investing.com/equities/lpi-capital-bhd,17.040,17.060,17.020,-0.020,-0.12%,3.80K
Manulife,https://www.investing.com/equities/manulife-holdings-bhd,2.750,2.770,2.750,-0.020,-0.72%,3.80K
Kia Lim Bhd,https://www.investing.com/equities/kia-lim-bhd,0.240,0.240,0.240,-0.010,-4.00%,3.80K
Tasek Corporation Bhd,https://www.investing.com/equities/tasek-corporation-bhd,6.550,6.550,6.500,+0.050,+0.77%,3.30K
Lysaght Galvanized Steel,https://www.investing.com/equities/lysaght-galvanized-steel,2.850,2.850,2.850,0.000,0.00%,3.10K
Oriental Food Ind,https://www.investing.com/equities/oriental-food-industries-hold,0.835,0.835,0.825,+0.015,+1.83%,3.00K
Syarikat Takaful,https://www.investing.com/equities/syarikat-takaful-malaysia-bhd,3.850,3.850,3.840,0.000,0.00%,3.00K
UPA Corp,https://www.investing.com/equities/upa-corporation-bhd,2.370,2.380,2.370,0.000,0.00%,3.00K
Cymao Holdings Bhd,https://www.investing.com/equities/cymao-holdings-bhd,0.360,0.360,0.360,-0.005,-1.37%,3.00K
NPC Resources Bhd,https://www.investing.com/equities/npc-resources-bhd,1.800,1.800,1.800,-0.090,-4.76%,3.00K
Suria Capital Holdings Bhd,https://www.investing.com/equities/suria-capital-holdings-bhd,1.610,1.610,1.550,+0.040,+2.55%,3.00K
CNI,https://www.investing.com/equities/cni-holdings-bhd,0.075,0.075,0.070,0.000,0.00%,2.60K
New Hoong Fatt,https://www.investing.com/equities/new-hoong-fatt-holdings-bhd,3.070,3.170,3.060,-0.110,-3.46%,2.60K
Gw Plastics,https://www.investing.com/equities/gw-plastics-holdings-bhd,0.755,0.755,0.730,+0.015,+2.03%,2.10K
Sin Heng Chan,https://www.investing.com/equities/sin-heng-chan-(malaya)-bhd,0.490,0.490,0.490,+0.070,+16.67%,2.10K
Amalgamated Steel,https://www.investing.com/equities/amalgamated-industrial-steel,0.305,0.315,0.280,+0.030,+10.91%,2.00K
