name,link,last,high,low,change,change_percent,volume
APM Automotive,https://www.investing.com/equities/apm-automotive-holdings-bhd,3.520,3.520,3.520,0.000,0.00%,2.00K
Asia Brands,https://www.investing.com/equities/asia-brands-bhd,0.680,0.680,0.680,-0.020,-2.86%,2.00K
MB World Group,https://www.investing.com/equities/emas-kiara-industries-bhd,1.600,1.600,1.600,+0.010,+0.63%,2.00K
Eng Kah Corp,https://www.investing.com/equities/eng-kah-corporation-bhd,1.000,1.000,1.000,-0.020,-1.96%,2.00K
Hock Heng Stone,https://www.investing.com/equities/hock-heng-stone-industries-bhd,0.490,0.490,0.490,+0.030,+6.52%,2.00K
SEAL Incorporated Bhd,https://www.investing.com/equities/seal-incorporated-bhd,0.380,0.380,0.380,0.000,0.00%,2.00K
Atta Global Group,https://www.investing.com/equities/smpc-corporation-bhd,0.810,0.810,0.810,+0.010,+1.25%,2.00K
Shangri La Hotels Malaysia,https://www.investing.com/equities/shangri-la-hotels-malaysia-bhd,5.830,5.830,5.830,+0.000,+0.00%,2.00K
Berjaya Media,https://www.investing.com/equities/berjaya-media-bhd,0.210,0.210,0.210,+0.000,+0.00%,1.50K
Ralco Corporation Bhd,https://www.investing.com/equities/ralco-corporation-bhd,0.400,0.400,0.400,+0.020,+5.26%,1.50K
Texchem Resources Bhd,https://www.investing.com/equities/texchem-resources-bhd,0.830,0.835,0.830,0.000,0.00%,1.30K
Chin Teck Plantations,https://www.investing.com/equities/chin-teck-plantations-bhd,7.350,7.350,7.350,+0.050,+0.68%,1.10K
Mesiniaga,https://www.investing.com/equities/mesiniaga-bhd,1.050,1.050,1.050,-0.020,-1.87%,1.10K
Amcorp Properties,https://www.investing.com/equities/amcorp-properties-bhd,0.675,0.675,0.675,+0.000,+0.00%,1.00K
Kotra Industries,https://www.investing.com/equities/kotra-industries-bhd,1.700,1.700,1.700,-0.060,-3.41%,1.00K
Malpac,https://www.investing.com/equities/malpac-holdings-bhd,1.030,1.030,1.030,+0.080,+8.42%,1.00K
Paragon Union,https://www.investing.com/equities/paragon-union-bhd,0.260,0.260,0.260,-0.010,-3.70%,1.00K
Riverview Rubber Estates,https://www.investing.com/equities/riverview-rubber-estates-bhd,3.650,3.650,3.650,+0.000,+0.00%,1.00K
Teo Guan Lee Corp,https://www.investing.com/equities/teo-guan-lee-corporation-bhd,0.950,0.950,0.950,0.000,0.00%,1.00K
Stone Master Corpoaration,https://www.investing.com/equities/stone-master-corpoaration,0.200,0.200,0.200,+0.020,+11.11%,1.00K
Wang-Zheng Bhd,https://www.investing.com/equities/wang-zheng-bhd,1.280,1.280,1.280,0.000,0.00%,1.00K
Insas Pref,https://www.investing.com/equities/insas-bhd-pref,0.965,0.965,0.965,+0.000,+0.00%,0.80K
Bina Darulaman,https://www.investing.com/equities/bina-darulaman-bhd,0.400,0.400,0.400,-0.010,-2.44%,0.70K
Far East,https://www.investing.com/equities/far-east-holdings-bhd,2.900,2.900,2.900,0.000,0.00%,0.70K
Cocoaland,https://www.investing.com/equities/cocoaland-holdings-bhd,2.200,2.220,2.200,-0.020,-0.90%,0.60K
Eastland Equity,https://www.investing.com/equities/eastland-equity-bhd,0.150,0.150,0.140,0.000,0.00%,0.60K
Harrisons,https://www.investing.com/equities/harrisons-holdings-(malaysia),3.800,3.820,3.800,-0.020,-0.52%,0.60K
Pensonic Holdings Bhd,https://www.investing.com/equities/pensonic-holdings-bhd,0.585,0.585,0.585,-0.005,-0.85%,0.60K
BIMB,https://www.investing.com/equities/bimb-holdings-bhd,3.880,3.880,3.880,0.000,0.00%,0.40K
UMS Holdings Bhd,https://www.investing.com/equities/ums-holdings-bhd,2.260,2.260,2.100,+0.160,+7.62%,0.40K
FCW,https://www.investing.com/equities/fcw-holdings-bhd,0.810,0.810,0.810,0.000,0.00%,0.30K
Apollo Food,https://www.investing.com/equities/apollo-food-holdings-bhd,4.250,4.250,4.250,0.000,0.00%,0.20K
CI,https://www.investing.com/equities/ci-holdings-bhd,1.860,1.860,1.850,-0.140,-7.00%,0.20K
Esthetics Int,https://www.investing.com/equities/esthetics-international-group,0.680,0.680,0.680,+0.080,+13.33%,0.10K
Lebtech,https://www.investing.com/equities/lebtech-bhd,1.060,1.060,1.060,+0.000,+0.00%,0.10K
Managepay Systems,https://www.investing.com/equities/managepay-systems-bhd,0.170,0.170,0.170,+0.005,+3.03%,0.10K
OSK Ventures Intl,https://www.investing.com/equities/osk-ventures-international-bhd,0.510,0.510,0.510,-0.015,-2.86%,0.10K
Astral Asia,https://www.investing.com/equities/astral-asia-bhd,0.170,0.170,0.170,0.000,0.00%,0
Acme,https://www.investing.com/equities/acme-holdings-bhd,0.300,0.300,0.300,0.000,0.00%,0
Amverton,https://www.investing.com/equities/a-m-realty-bhd,1.020,1.030,1.020,0.000,0.00%,0
Advanced Packaging Tech,https://www.investing.com/equities/advanced-packaging-tech-(m),1.980,1.980,1.980,0.000,0.00%,0
ARK Resources,https://www.investing.com/equities/ark-resources-bhd,0.310,0.310,0.310,+0.000,+0.00%,0
Atlan,https://www.investing.com/equities/atlan-holdings-bhd,4.480,4.480,4.360,0.000,0.00%,0
BCB,https://www.investing.com/equities/bcb-bhd,0.360,0.360,0.340,+0.000,+0.00%,0
Bertam Alliance,https://www.investing.com/equities/bertam-alliance-bhd,0.295,0.295,0.295,+0.000,+0.00%,0
BIG Industries,https://www.investing.com/equities/big-industries-bhd,0.300,0.330,0.295,+0.000,+0.00%,0
BLD Plantation,https://www.investing.com/equities/bld-plantation-bhd,7.300,7.300,7.300,+0.000,+0.00%,0
Box Pak,https://www.investing.com/equities/box-pak-(malaysia)-bhd,1.070,1.070,1.070,0.000,0.00%,0
Bintulu Port,https://www.investing.com/equities/bintulu-port-holdings-bhd,5.410,5.410,5.410,0.000,0.00%,0
BSL Corp,https://www.investing.com/equities/bsl-corp-bhd,0.410,0.410,0.400,+0.000,+0.00%,0
Cheetah,https://www.investing.com/equities/cheetah-holdings-bhd,0.390,0.390,0.390,0.000,0.00%,0
Computer Forms,https://www.investing.com/equities/computer-forms-(malaysia)-bhd,1.050,1.050,1.050,0.000,0.00%,0
Choo Bee Metal Ind,https://www.investing.com/equities/choo-bee-metal-industries-bhd,1.840,1.850,1.830,0.000,0.00%,0
Chuan Huat Res,https://www.investing.com/equities/chuan-huat-resources-bhd,0.385,0.390,0.385,0.000,0.00%,0
China Stationery,https://www.investing.com/equities/china-stationery-ltd,0.010,0.020,0.010,0.000,0.00%,0
Central Industrial,https://www.investing.com/equities/central-industrial-corp,1.380,1.400,1.380,0.000,0.00%,0
CME,https://www.investing.com/equities/cme-group-bhd,0.040,0.040,0.040,0.000,0.00%,0
Concrete Engineering,https://www.investing.com/equities/concrete-engineering-products,1.400,1.400,1.400,+0.000,+0.00%,0
Complete Logistic Srvcs,https://www.investing.com/equities/complete-logistic-services-bhd,0.600,0.600,0.600,0.000,0.00%,0
Crescendo Corp,https://www.investing.com/equities/crescendo-corporation-bhd,1.310,1.310,1.310,+0.000,+0.00%,0
CAM Resources,https://www.investing.com/equities/cam-resources-bhd,0.270,0.280,0.270,0.000,0.00%,0
Classic Scenic,https://www.investing.com/equities/classic-scenic-bhd,1.260,1.380,1.230,+0.000,+0.00%,0
CYL Corp,https://www.investing.com/equities/cyl-corporation-bhd,0.580,0.580,0.570,0.000,0.00%,0
DeGem,https://www.investing.com/equities/degem-bhd,1.100,1.100,1.100,+0.000,+0.00%,0
DKLS Industries,https://www.investing.com/equities/dkls-industries-bhd,1.800,1.800,1.700,+0.000,+0.00%,0
Daibochi,https://www.investing.com/equities/daibochi-plastic-packaging,2.030,2.030,1.950,0.000,0.00%,0
DPS Resources,https://www.investing.com/equities/dps-resources-bhd,0.075,0.075,0.065,+0.000,+0.00%,0
ECM Libra Financial,https://www.investing.com/equities/ecm-libra-financial-group-bhd,0.365,0.365,0.365,+0.000,+0.00%,0
Eurospan,https://www.investing.com/equities/eurospan-holdings-bhd,0.700,0.700,0.700,0.000,0.00%,0
FACB Industries,https://www.investing.com/equities/facb-industries-incorporated,1.330,1.330,1.260,0.000,0.00%,0
Federal International,https://www.investing.com/equities/federal-furniture-holdings-m,0.400,0.400,0.375,+0.000,+0.00%,0
Fiamma,https://www.investing.com/equities/fiamma-holdings-bhd,0.505,0.510,0.500,0.000,0.00%,0
Fibon,https://www.investing.com/equities/fibon-bhd,0.500,0.500,0.500,0.000,0.00%,0
Farlim,https://www.investing.com/equities/farlim-group-(malaysia)-bhd,0.355,0.355,0.355,0.000,0.00%,0
Goh Ban Huat,https://www.investing.com/equities/goh-ban-huat-bhd,1.150,1.150,1.150,0.000,0.00%,0
IGB,https://www.investing.com/equities/goldis-bhd,2.800,2.800,2.800,+0.000,+0.00%,0
Gromutual,https://www.investing.com/equities/gromutual-bhd,0.360,0.360,0.360,0.000,0.00%,0
Gopeng,https://www.investing.com/equities/gopeng-bhd,0.905,0.905,0.880,+0.000,+0.00%,0
Harn Len Corp,https://www.investing.com/equities/harn-len-corporation-bhd,0.510,0.510,0.510,0.000,0.00%,0
Halex,https://www.investing.com/equities/halex-holdings-bhd,0.840,0.840,0.840,+0.000,+0.00%,0
Ibraco,https://www.investing.com/equities/ibraco-bhd,0.565,0.565,0.565,0.000,0.00%,0
Integrated Logistics,https://www.investing.com/equities/integrated-logistics-bhd,0.580,0.580,0.570,+0.000,+0.00%,0
Industronics,https://www.investing.com/equities/industronics-bhd,0.110,0.115,0.100,0.000,0.00%,0
Jadi Imaging,https://www.investing.com/equities/jadi-imaging-holdings-bhd,0.045,0.045,0.040,0.000,0.00%,0
Jiankun Int,https://www.investing.com/equities/jiankun-international-bhd,0.335,0.335,0.320,0.000,0.00%,0
Jasa Kita,https://www.investing.com/equities/jasa-kita-bhd,0.125,0.125,0.125,0.000,0.00%,0
JCBNext Berhad,https://www.investing.com/equities/jobstreet-corporation-bhd,1.600,1.600,1.590,+0.000,+0.00%,0
Ken,https://www.investing.com/equities/ken-holdings-bhd,0.790,0.795,0.790,0.000,0.00%,0
Kuantan Flour Mills,https://www.investing.com/equities/kuantan-flour-mills-bhd,0.125,0.125,0.125,0.000,0.00%,0
Khind,https://www.investing.com/equities/khind-holdings-bhd,1.760,1.760,1.760,+0.000,+0.00%,0
JKG Land,https://www.investing.com/equities/keladi-maju-bhd,0.085,0.085,0.085,0.000,0.00%,0
Kluang Rubber,https://www.investing.com/equities/kluang-rubber-company-malaya,4.100,4.100,4.020,+0.000,+0.00%,0
Kamdar,https://www.investing.com/equities/kamdar-group-(m)-bhd,0.375,0.375,0.375,+0.000,+0.00%,0
Knusford,https://www.investing.com/equities/knusford-bhd,0.660,0.660,0.660,+0.000,+0.00%,0
Kwantas Corp,https://www.investing.com/equities/kwantas-corporation-bhd,1.150,1.150,1.120,0.000,0.00%,0
Sand Nisko,https://www.investing.com/equities/len-cheong-holding-bhd,0.270,0.270,0.270,+0.000,+0.00%,0
Lion Forest Ind,https://www.investing.com/equities/lion-forest-industries-bhd,0.525,0.525,0.500,0.000,0.00%,0
Latitude Tree,https://www.investing.com/equities/latitude-tree-holdings-bhd,3.550,3.570,3.550,0.000,0.00%,0
Magna Prima,https://www.investing.com/equities/magna-prima-bhd,0.980,0.980,0.930,0.000,0.00%,0
Maxwell Int,https://www.investing.com/equities/maxwell-international-holdings,0.010,0.015,0.005,0.000,0.00%,0
MClean Technologies,https://www.investing.com/equities/mclean-technologies-bhd,0.115,0.115,0.115,0.000,0.00%,0
Melati Ehsan,https://www.investing.com/equities/melati-ehsan-holdings-bhd,0.620,0.625,0.555,0.000,0.00%,0
Malaysian Genomics,https://www.investing.com/equities/malaysian-genomics-resource,0.310,0.310,0.310,+0.000,+0.00%,0
Milux Corp,https://www.investing.com/equities/milux-corporation-bhd,0.750,0.750,0.750,+0.000,+0.00%,0
Mintye Industries,https://www.investing.com/equities/mintye-industries-bhd,0.950,0.950,0.950,+0.000,+0.00%,0
Majuperak,https://www.investing.com/equities/majuperak-holdings-bhd,0.310,0.310,0.305,0.000,0.00%,0
Malaysia Pacific Corp,https://www.investing.com/equities/malaysia-pacific-corporation,0.045,0.065,0.045,0.000,0.00%,0
MSM Malaysia,https://www.investing.com/equities/msm-malaysia-holdings-bhd,3.530,3.530,3.530,0.000,0.00%,0
MTD ACPI Engineering,https://www.investing.com/equities/mtd-acpi-engineering-bhd,0.200,0.200,0.195,+0.000,+0.00%,0
Niche Capital Emas,https://www.investing.com/equities/niche-capital-emas-holdings,0.040,0.040,0.040,0.000,0.00%,0
Negri Sembilan Oil Palms,https://www.investing.com/equities/negri-sembilan-oil-palms-bhd,3.600,3.600,3.600,0.000,0.00%,0
Oriental Interest,https://www.investing.com/equities/oriental-interest-bhd,2.070,2.070,2.050,+0.000,+0.00%,0
Omesti,https://www.investing.com/equities/omesti-bhd,0.400,0.405,0.395,0.000,0.00%,0
Panpages,https://www.investing.com/equities/panpages-bhd,0.240,0.240,0.235,+0.000,+0.00%,0
Paos,https://www.investing.com/equities/paos-holdings-bhd,0.395,0.395,0.350,+0.000,+0.00%,0
Pintaras Jaya,https://www.investing.com/equities/pintaras-jaya-bhd,2.450,2.450,2.420,0.000,0.00%,0
PLB Engineering,https://www.investing.com/equities/plb-engineering-bhd,1.680,1.680,1.670,+0.000,+0.00%,0
PLS Plantations,https://www.investing.com/equities/pls-plantations-bhd,1.120,1.120,1.120,+0.000,+0.00%,0
Rex Industry,https://www.investing.com/equities/rex-industry-bhd,0.405,0.415,0.405,0.000,0.00%,0
Saudee,https://www.investing.com/equities/saudee-group-bhd,0.405,0.405,0.405,0.000,0.00%,0
Sungei Bagan Rubber,https://www.investing.com/equities/sungei-bagan-rubber-malaya,3.250,3.250,3.150,+0.000,+0.00%,0
SHL Consolidated,https://www.investing.com/equities/shl-consolidated-bhd,2.600,2.600,2.580,0.000,0.00%,0
Sern Kou Resources,https://www.investing.com/equities/sern-kou-resources-bhd,0.600,0.600,0.585,+0.000,+0.00%,0
AYER,https://www.investing.com/equities/tahps-group-bhd,5.400,5.600,5.300,+0.000,+0.00%,0
TPC Plus,https://www.investing.com/equities/tpc-plus-bhd,0.355,0.355,0.350,0.000,0.00%,0
TSR Capital,https://www.investing.com/equities/tsr-capital-bhd,0.395,0.400,0.395,0.000,0.00%,0
Xian Leng,https://www.investing.com/equities/xian-leng-holdings-bhd,0.525,0.525,0.525,0.000,0.00%,0
Xingquan Int Sports,https://www.investing.com/equities/xingquan-international-sports,0.055,0.065,0.035,0.000,0.00%,0
Y&G Corp,https://www.investing.com/equities/y-g-corp-bhd,0.930,0.930,0.930,0.000,0.00%,0
Amtel Holdings Bhd,https://www.investing.com/equities/amtel-holdings-bhd,0.645,0.645,0.640,+0.000,+0.00%,0
Kinsteel Bhd,https://www.investing.com/equities/kinsteel-bhd,0.005,0.010,0.005,0.000,0.00%,0
MCE Holdings,https://www.investing.com/equities/multi-code-electronics-industries,0.775,0.775,0.775,0.000,0.00%,0
Mercury Industries Bhd,https://www.investing.com/equities/mercury-industries-bhd,1.100,1.120,1.100,0.000,0.00%,0
Mentiga Corporation Bhd,https://www.investing.com/equities/mentiga-corporation-bhd,0.520,0.520,0.520,0.000,0.00%,0
Multi Usage Holdings Bhd,https://www.investing.com/equities/multi-usage-holdings-bhd,0.450,0.450,0.450,0.000,0.00%,0
Poly Glass Fibre M Bhd,https://www.investing.com/equities/poly-glass-fibre-m-bhd,0.445,0.450,0.435,+0.000,+0.00%,0
PNE PCB Bhd,https://www.investing.com/equities/pne-pcb-bhd,0.520,0.520,0.480,0.000,0.00%,0
Resintech Bhd,https://www.investing.com/equities/resintech-bhd,0.330,0.330,0.290,0.000,0.00%,0
Rubberex Corporation M,https://www.investing.com/equities/rubberex-corporation-m,0.590,0.590,0.585,+0.000,+0.00%,0
Sarawak Cable Bhd,https://www.investing.com/equities/sarawak-cable-bhd,0.390,0.395,0.390,0.000,0.00%,0
Sapura Industrial Bhd,https://www.investing.com/equities/sapura-industrial-bhd,0.830,0.865,0.830,0.000,0.00%,0
Sarawak Consolidated Industries,https://www.investing.com/equities/sarawak-consolidated-industries,0.595,0.595,0.560,0.000,0.00%,0
Scanwolf Corporation Bhd,https://www.investing.com/equities/scanwolf-corporation-bhd,0.245,0.245,0.245,0.000,0.00%,0
Sealink International Bhd,https://www.investing.com/equities/sealink-international-bhd,0.130,0.130,0.130,+0.000,+0.00%,0
Subur Tiasa Holdings Bhd,https://www.investing.com/equities/subur-tiasa-holdings-bhd,0.830,0.840,0.830,0.000,0.00%,0
Tekala,https://www.investing.com/equities/tekala-corporation-bhd,0.170,0.170,0.170,0.000,0.00%,0
TAS Offshore Bhd,https://www.investing.com/equities/tas-offshore-bhd,0.275,0.275,0.275,+0.000,+0.00%,0
Turiya Bhd,https://www.investing.com/equities/turiya-bhd,0.140,0.140,0.140,0.000,0.00%,0
Timberwell Bhd,https://www.investing.com/equities/timberwell-bhd,0.635,0.635,0.580,0.000,0.00%,0
UMS Neiken,https://www.investing.com/equities/ums-neiken-group-bhd,0.995,0.995,0.995,0.000,0.00%,0
Versatile Creative Bhd,https://www.investing.com/equities/versatile-creative-bhd,0.420,0.420,0.365,+0.000,+0.00%,0
Yi Lai,https://www.investing.com/equities/yi-lai-bhd,0.730,0.730,0.730,+0.000,+0.00%,0
Xin Hwa Holdings Bhd,https://www.investing.com/equities/xin-hwa-holdings-bhd,0.850,0.850,0.845,+0.000,+0.00%,0
Kein Hing International Bhd,https://www.investing.com/equities/kein-hing-international-bhd,0.600,0.600,0.600,+0.000,+0.00%,0
Metronic Global Bhd,https://www.investing.com/equities/metronic-global-bhd,0.040,0.040,0.030,0.000,0.00%,0
Nationwide Express,https://www.investing.com/equities/nationwide-express-courier-services,0.315,0.315,0.315,0.000,0.00%,0
OCB Bhd,https://www.investing.com/equities/ocb-bhd,0.410,0.410,0.410,0.000,0.00%,0
Oversea Enterprise Bhd,https://www.investing.com/equities/oversea-enterprise-bhd,0.190,0.190,0.165,+0.000,+0.00%,0
Perak Corporation Bhd,https://www.investing.com/equities/perak-corporation-bhd,0.580,0.620,0.580,0.000,0.00%,0
PJBumi Bhd,https://www.investing.com/equities/pjbumi-bhd,0.175,0.175,0.175,0.000,0.00%,0
See Hup Consolidated Bhd,https://www.investing.com/equities/see-hup-consolidated-bhd,1.100,1.100,1.100,0.000,0.00%,0
Seni Jaya Corporation Bhd,https://www.investing.com/equities/seni-jaya-corporation-bhd,0.860,0.860,0.620,+0.000,+0.00%,0
Seremban Engineering Bhd,https://www.investing.com/equities/seremban-engineering-bhd,0.310,0.310,0.310,0.000,0.00%,0
SKB Shutters Corporation Bhd,https://www.investing.com/equities/skb-shutters-corporation-bhd,0.570,0.570,0.550,+0.000,+0.00%,0
Spring Gallery Bhd,https://www.investing.com/equities/spring-gallery-bhd,0.790,0.795,0.790,0.000,0.00%,0
Teck Guan Perdana Bhd,https://www.investing.com/equities/teck-guan-perdana-bhd,0.910,0.915,0.910,0.000,0.00%,0
Unimech Group Bhd,https://www.investing.com/equities/unimech-group-bhd,1.040,1.040,1.000,+0.000,+0.00%,0
Warisan TC Holdings Bhd,https://www.investing.com/equities/warisan-tc-holdings-bhd,2.070,2.070,2.070,0.000,0.00%,0
Widetech Malaysia Bhd,https://www.investing.com/equities/widetech-malaysia-bhd,0.590,0.590,0.590,0.000,0.00%,0
Woodlandor Holdings Bhd,https://www.investing.com/equities/woodlandor-holdings-bhd,0.590,0.600,0.540,0.000,0.00%,0
YFG Bhd,https://www.investing.com/equities/yfg-bhd,0.005,0.010,0.005,0.000,0.00%,0
Sterling Progress,https://www.investing.com/equities/sterling-progress-bhd,0.200,0.200,0.200,+0.000,+0.00%,0
LKL International Bhd,https://www.investing.com/equities/lkl-international-bhd,0.140,0.140,0.140,0.000,0.00%,0
Amtek Bhd,https://www.investing.com/equities/amtek-holdings-bhd,0.360,0.360,0.280,+0.000,+0.00%,0
Leader Steel Bhd,https://www.investing.com/equities/leader-steel-holdings-bhd,0.370,0.380,0.370,0.000,0.00%,0
Metrod Bhd,https://www.investing.com/equities/metrod-holdings-bhd,1.750,1.750,1.750,+0.000,+0.00%,0
SMISoration Bhd,https://www.investing.com/equities/smis-corporation-bhd,0.530,0.530,0.530,+0.000,+0.00%,0
Transocean Bhd,https://www.investing.com/equities/transocean-holdings-bhd,0.570,0.570,0.570,0.000,0.00%,0
Advance Info Marketing,https://www.investing.com/equities/advance-information-marketing-bhd,0.235,0.235,0.235,0.000,0.00%,0
China Automobile Parts,https://www.investing.com/equities/china-automobile-parts-holdings-ltd,0.010,0.015,0.010,0.000,0.00%,0
Digistar,https://www.investing.com/equities/digistar-corporation-bhd,0.080,0.080,0.075,0.000,0.00%,0
Green Ocean,https://www.investing.com/equities/green-ocean-corporation-bhd,0.120,0.120,0.120,0.000,0.00%,0
Innity Corporation,https://www.investing.com/equities/innity-corporation-bhd,0.630,0.630,0.570,+0.000,+0.00%,0
Spring Gallery Pref,https://www.investing.com/equities/spring-gallery-bhd-pref,0.270,0.285,0.270,0.000,0.00%,0
Ann Joo Resources Pref,https://www.investing.com/equities/ann-joo-resources-bhd-pref,0.710,0.710,0.710,0.000,0.00%,0
Federal International,https://www.investing.com/equities/federal-furniture-holdings-m-bhd,0.070,0.070,0.070,0.000,0.00%,0
Cabnet Holdings,https://www.investing.com/equities/cabnet-holdings-bhd,0.300,0.320,0.300,0.000,0.00%,0
LBS Bina Pref,https://www.investing.com/equities/lbs-bina,1.000,1.000,1.000,0.000,0.00%,0
Metro Healthcare,https://www.investing.com/equities/metro-healthcare,0.360,0.360,0.360,0.000,0.00%,0
Tower Real Estate,https://www.investing.com/equities/tower-real-estate,0.960,0.960,0.960,0.000,0.00%,0
