symbol,name,code
LEWEKO,LEWEKO RESOURCES BHD,8745
LFECORP,LFE CORP BHD,7170
LIENHOE,LIEN HOE CORP BHD,3573
LIIHEN,LII HEN INDUSTRIES BHD,7089
LIONFIB,LION FOREST INDUSTRIES BHD,8486
LIONIND,LION INDUSTRIES CORP BHD,4235
LITRAK,LINGKARAN TRANS KOTA HOLDINGS BHD,6645
LKL,LKL INTERNATIONAL BHD,0182
LNGRES,LNG RESOURCES BHD,0025
LONBISC,LONDON BISCUITS BHD,7126
LPI,LPI CAPITAL BHD,8621
LSTEEL,LEADER STEEL HOLDINGS BHD,9881
LTKM,LTKM BHD,7085
LUSTER,LUSTER INDUSTRIES BHD,5068
LUXCHEM,LUXCHEM CORP BHD,5143
LYSAGHT,LYSAGHT GALVANIZED STEEL BHD,9199
M&G,MARINE & GENERAL BHD,5078
M3TECH,M3 TECHNOLOGIES (ASIA) BHD,0017
MAA,MAA GROUP BHD,1198
MAGNA,MAGNA PRIMA BHD,7617
MAGNI,MAGNI-TECH INDUSTRIES BHD,7087
MAGNUM,MAGNUM BHD,3859
MAHSING,MAH SING GROUP BHD,8583
MALAKOF,MALAKOFF CORP BHD,5264
MALPAC,MALPAC HOLDINGS BHD,4936
MALTON,MALTON BHD,6181
MANULFE,MANULIFE HOLDINGS BHD,1058
MARCO,MARCO HOLDINGS BHD,3514
MASTEEL,MALAYSIA STEEL WORKS (KL) BHD SHS,5098
MASTER,MASTER-PACK GROUP BHD,7029
MATANG,MATANG BHD,0189
MATRIX,MATRIX CONCEPTS HOLDINGS BHD,5236
MAXIS,MAXIS BHD,6012
MAXWELL,MAXWELL INTERNATIONAL HOLDINGS BHD,5189
MAYBANK,MALAYAN BANKING BHD,1155
MAYBULK,MALAYSIAN BULK CARRIERS BHD,5077
MBG,MINTYE BHD,5886
MBL,MUAR BAN LEE GROUP BHD,5152
MBMR,MBM RESOURCES BHD,5983
MBSB,MALAYSIA BUILDING SOCIETY BHD,1171
MBWORLD,MB WORLD GROUP BHD,7189
MCEHLDG,MCE HOLDINGS BHD,7004
MCLEAN,MCLEAN TECHNOLOGIES BHD,0167
MCT,MCT BHD,5182
MEDAINC,MEDA INC BHD,5040
MEDIA,MEDIA PRIMA BHD,4502
MEDIAC,MEDIA CHINESE INTERNATIONAL LTD,5090
MEGASUN,MEGA SUN CITY HOLDINGS BHD,0081
MELATI,MELATI EHSAN HOLDINGS BHD,5129
MELEWAR,MELEWAR INDUSTRIAL GROUP BHD,3778
MENANG,MENANG CORP (M) BHD,1694
MENTIGA,MENTIGA CORP BHD,5223
MERCURY,MERCURY INDUSTRIES BHD,8192
MERGE,MERGE ENERGY BHD,5006
MESB,MESB BHD,7234
METROD,METROD HOLDINGS BHD,6149
MEXTER,MEXTER TECHNOLOGY BHD,0075
MFCB,MEGA FIRST CORP BHD,3069
MFLOUR,MALAYAN FLOUR MILLS BHD,3662
MGB,MGB BHD,7595
MGRC,MALAYSIAN GENOMICS RESOURCE CENTRE BHD,0155
MHB,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,5186
MHC,MHC PLANTATIONS BHD,5026
MI,MI EQUIPMENT HOLDINGS BHD,5286
MICROLN,MICROLINK SOLUTIONS BHD,0126
MIECO,MIECO CHIPBOARD BHD,5001
MIKROMB,MIKRO MSC BHD,0112
MILUX,MILUX CORP BHD,7935
MINDA,ASIAMET EDUCATION GROUP BHD,5166
MINETEC,MINETECH RESOURCES BHD,7219
MINHO,MINHO (M) BHD,5576
MISC,MISC BHD,3816
MITRA,MITRAJAYA HOLDINGS BHD,9571
MJPERAK,MAJUPERAK HOLDINGS BHD,8141
MKH,MKH BHD,6114
MKLAND,MK LAND HOLDINGS BHD,8893
MLAB,MLABS SYSTEMS BHD,0085
MMAG,MMAG HOLDINGS BHD,0034
MMCCORP,MMC CORP BHD,2194
MMODE,M-MODE BHD,0059
MMSV,MMS VENTURES BHD,0113
MNC,M N C WIRELESS BHD,0103
MNRB,MNRB HOLDINGS BHD,6459
MPAY,MANAGEPAY SYSTEMS BHD,0156
MPCORP,MALAYSIA PACIFIC CORP BHD,6548
MPHBCAP,MPHB CAPITAL BHD,5237
MPI,MALAYSIAN PACIFIC INDUSTRIES BHD,3867
MQREIT,MRCB-QUILL REIT,5123
MQTECH,MQ TECHNOLOGY BHD,0070
MRCB,MALAYSIAN RESOURCES CORP BHD,1651
MSC,MALAYSIA SMELTING CORP BHD,5916
MSM,MSM MALAYSIA HOLDINGS BHD,5202
MSNIAGA,MESINIAGA BHD,5011
MSPORTS,MULTI SPORTS HOLDINGS LTD,5150
MTDACPI,MTD ACPI ENGINEERING BHD,5924
MTOUCHE,MTOUCHE TECHNOLOGY BHD,0092
MTRONIC,METRONIC GLOBAL BHD,0043
MUDA,MUDA HOLDINGS BHD,3883
MUDAJYA,MUDAJAYA GROUP BHD,5085
MUH,MULTI-USAGE HOLDINGS BHD,9539
MUHIBAH,MUHIBBAH ENGINEERING (M) BHD,5703
MUIIND,MALAYAN UNITED INDUSTRIES BHD,3891
MUIPROP,MUI PROPERTIES BHD,3913
MULPHA,MULPHA INTERNATIONAL BHD,3905
MWE,MWE HOLDINGS BHD,3921
MYCRON,MYCRON STEEL BHD,5087
MYEG,MY E.G.SERVICES BHD,0138
MYNEWS,MYNEWS HOLDINGS BHD,5275
N2N,N2N CONNECT BHD,0108
NAIM,NAIM HOLDINGS BHD,5073
NATWIDE,NATIONWIDE EXPRESS HOLDINGS BHD,9806
NESTLE,NESTLE MALAYSIA BHD,4707
NETX,NETX HOLDINGS BHD,0020
NEXGRAM,NEXGRAM HOLDINGS BHD,0096
NGGB,NEXTGREEN GLOBAL BERHAD,7241
NHFATT,NEW HOONG FATT HOLDINGS BHD,7060
NICE,NICHE CAPITAL EMAS HOLDINGS BHD,7139
NIHSIN,NI HSIN RESOURCES BHD,7215
NOTION,NOTION VTEC BHD,0083
NOVA,NOVA WELLNESS GROUP BHD,0201
NOVAMSC,NOVA MSC BHD,0026
NPC,NPC RESOURCES BHD,5047
NSOP,NEGRI SEMBILAN OIL PALMS BHD,2038
NTPM,NTPM HOLDINGS BHD,5066
NWP,NWP HOLDINGS BHD,5025
NYLEX,NYLEX MALAYSIA BHD,4944
OCB,OCB BHD,5533
OCK,OCK GROUP BHD,0172
OCNCASH,OCEANCASH PACIFIC BHD,0049
OCR,OCR GROUP BHD,7071
OFI,ORIENTAL FOOD INDUSTRIES HOLDINGS BHD,7107
OIB,ORIENTAL INTEREST BHD,5827
OKA,OKA CORP BHD,7140
OLYMPIA,OLYMPIA INDUSTRIES BHD,3018
OMESTI,OMESTI BHD,9008
OPCOM,OPCOM HOLDINGS BHD,0035
OPENSYS,OPENSYS M BHD,0040
ORIENT,ORIENTAL HOLDINGS BHD,4006
ORION,ORION IXL BHD,0079
ORNA,ORNAPAPER BHD,5065
OSK,OSK HOLDINGS BHD,5053
OSKVI,OSK VENTURES INTERNATIONAL BHD,0053
OVERSEA,OVERSEA ENTERPRISE BHD,0153
OWG,ONLY WORLD GROUP HOLDINGS BHD,5260
P&O,PACIFIC & ORIENT BHD,6009
PA,P.A. RESOURCES BHD,7225
PADINI,PADINI HOLDINGS BHD,7052
PANAMY,PANASONIC MANUFACTURING MALAYSIA BHD,3719
PANPAGE,PANPAGES BHD,0041
PANSAR,PANSAR BHD,8419
PANTECH,PANTECH GROUP HOLDINGS BHD,5125
PAOS,PAOS HOLDINGS BHD,5022
PARAGON,PARAGON UNION BHD,9407
PARAMON,PARAMOUNT CORP BHD,1724
PARKSON,PARKSON HOLDINGS BHD,5657
PARLO,PARLO BERHAD,0022
PASDEC,PASDEC HOLDINGS BHD,6912
PASUKGB,PASUKHAS GROUP BERHAD,0177
PAVREIT,PAVILION REAL ESTATE INVESTMENT TRUST,5212
PBA,PBA HOLDINGS BHD,5041
PBBANK,PUBLIC BANK BHD,1295
PCCS,PCCS GROUP BHD,6068
PCHEM,PETRONAS CHEMICALS GROUP BHD,5183
PDZ,PDZ HOLDINGS BHD,6254
PEB,TRIPLC BHD,5622
PECCA,PECCA GROUP BHD,5271
PELIKAN,PELIKAN INTERNATIONAL CORP BHD,5231
PENERGY,PETRA ENERGY BHD,5133
PENSONI,PENSONIC HOLDINGS BHD,9997
PENTA,PENTAMASTER CORP BHD,7160
PERDANA,PERDANA PETROLEUM BHD,7108
PERISAI,PERISAI PETROLEUM TEKNOLOGI BHD,0047
PERMAJU,PERMAJU INDUSTRIES BHD,7080
PERSTIM,PERUSAHAAN SADUR TIMAH MALAYSIA PERSTIMA BHD,5436
PESONA,PESONA METRO HOLDINGS BHD,8311
PESTECH,PESTECH INTERNATIONAL BHD,5219
PETDAG,PETRONAS DAGANGAN BHD,5681
PETGAS,PETRONAS GAS BHD,6033
PETONE,PETROL ONE RESOURCES BHD,7027
PETRONM,PETRON MALAYSIA REFINING & MARKETING BHD,3042
PGLOBE,GOH BAN HUAT BHD,3611
PHARMA,PHARMANIAGA BHD,7081
PHB,PEGASUS HEIGHTS BHD,4464
PICORP,PROGRESSIVE IMPACT CORP BHD,7201
PIE,P I E INDUSTRIAL BHD,7095
PINEAPP,PINEAPPLE RESOURCES BHD,0006
PINEPAC,PINEHILL PACIFIC BHD,1902
PJBUMI,PJBUMI BHD,7163
PLABS,PETERLABS HOLDINGS BHD,0171
PLB,PLB ENGINEERING BHD,7055
PLENITU,PLENITUDE BHD,5075
PLS,PLS PLANTATIONS BHD,9695
PMBTECH,PMB TECHNOLOGY BHD,7172
PMCORP,PAN MALAYSIA CORP BHD,4081
PMETAL,PRESS METAL ALUMINIUM HOLDINGS BHD,8869
PMHLDG,PAN MALAYSIA HOLDINGS BHD,1287
PNEPCB,PNE PCB BHD,6637
POHKONG,POH KONG HOLDINGS BHD,5080
POHUAT,POH HUAT RESOURCES HOLDINGS BHD,7088
POLY,POLY GLASS FIBRE (M) BHD,8117
POS,POS MALAYSIA BHD,4634
PPB,PPB GROUP BHD,4065
PPG,PELANGI PUBLISHING GROUP BHD,7190
PPHB,PUBLIC PACKAGES HOLDINGS BHD,8273
PRESBHD,PRESTARIANG BERHAD,5204
PRESTAR,PRESTAR RESOURCES BHD,9873
PRG,PRG HOLDINGS BHD,7168
PRIVA,PRIVASIA TECHNOLOGY BHD,0123
PRKCORP,PERAK CORP BHD,8346
PRLEXUS,PROLEXUS BHD,8966
PRTASCO,PROTASCO BHD,5070
PSIPTEK,PRINSIPTEK CORP BHD,7145
PTARAS,PINTARAS JAYA BHD,9598
PTB,PLASTRADE TECHNOLOGY BHD,0038
PTRANS,PERAK TRANSIT BHD,0186
PUC,PUC BHD,0007
PUNCAK,PUNCAK NIAGA HOLDINGS BHD,6807
PWF,PWF CONSOLIDATED BHD,7134
PWORTH,PRICEWORTH INTERNATIONAL BHD,7123
PWROOT,POWER ROOT BHD,7237
QES,QES GROUP BHD,0196
QL,QL RESOURCES BHD,7084
QUALITY,QUALITY CONCRETE HOLDINGS BHD,7544
RALCO,RALCO CORP BHD,7498
RANHILL,RANHILL HOLDINGS BHD,5272
RAPID,RAPID SYNERGY BHD,7765
RCECAP,RCE CAPITAL BHD,9296
REACH,REACH ENERGY BHD,5256
REDTONE,REDTONE INTERNATIONAL BHD,0032
RESINTC,RESINTECH BHD,7232
REV,REV ASIA BHD,0173
REVENUE,REVENUE GROUP BHD,0200
REX,REX INDUSTRY BHD,9946
REXIT,REXIT BHD,0106
RGB,RGB INTERNATIONAL BHD,0037
RGTECH,RADIANT GLOBALTECH BHD,0202
RHBBANK,RHB BANK BHD,1066
RHONEMA,RHONE MA HOLDINGS BHD,5278
ROHAS,ROHAS TECNIC BHD,9741
RSAWIT,RIMBUNAN SAWIT BHD,5113
RSENA,RED SENA BHD,5270
RUBEREX,RUBBEREX CORP (M) BHD,7803
RVIEW,RIVERVIEW RUBBER ESTATES BHD,2542
SAB,SOUTHERN ACIDS (M) BHD,5134
SALCON,SALCON BHD,8567
SALUTE,SALUTICA BHD,0183
SAM,SAM ENGINEERING & EQUIPMENT (M) BHD,9822
SAMCHEM,SAMCHEM HOLDINGS BHD,5147
SANBUMI,SANBUMI HOLDINGS BHD,9113
SANICHI,SANICHI TECHNOLOGY BHD,0133
SAPIND,SAPURA INDUSTRIAL BHD,7811
SAPNRG,SAPURA ENERGY BHD,5218
SAPRES,SAPURA RESOURCES BHD,4596
SASBADI,SASBADI HOLDINGS BHD,5252
SAUDEE,SAUDEE GROUP BHD,5157
SBAGAN,SUNGEI BAGAN RUBBER CO (MALAYA) BHD,2569
SBCCORP,SBC CORP BHD,5207
SCABLE,SARAWAK CABLE BHD,5170
SCBUILD,SC ESTATE BUILDER BHD,0109
SCC,SCC HOLDINGS BHD,0158
SCGM,SCGM BHD,7247
SCH,SCH GROUP BHD,0161
SCIB,SARAWAK CONSOLIDATED INDUSTRIES BHD,9237
SCICOM,SCICOM MSC BHD,0099
SCIENTX,SCIENTEX BHD,4731
SCNWOLF,SCANWOLF CORP BHD,7239
SCOMI,SCOMI GROUP BHD,7158
SCOMIES,SCOMI ENERGY SERVICES BHD,7045
SCOMNET,SUPERCOMNET TECHNOLOGIES BHD,0001
SCOPE,SCOPE INDUSTRIES BHD,0028
SDRED,SELANGOR DREDGING BHD,2224
SEACERA,SEACERA GROUP BHD,7073
SEAL,SEAL INC BHD,4286
SEALINK,SEALINK INTERNATIONAL BHD,5145
SEB,SEREMBAN ENGINEERING BHD,5163
SEDANIA,SEDANIA INNOVATOR BHD,0178
SEEHUP,SEE HUP CONSOLIDATED BHD,7053
SEG,SEG INTERNATIONAL BHD,9792
SEM,7-ELEVEN MALAYSIA HOLDINGS BHD,5250
SENDAI,EVERSENDAI CORPORATION BERHAD,5205
SERBADK,SERBA DINAMIK HOLDINGS BHD,5279
SERNKOU,SERN KOU RESOURCES BHD,7180
SERSOL,SERSOL BHD,0055
SGB,SPRING GALLERY BHD,7165
SHANG,SHANGRI-LA HOTELS MALAYSIA BHD,5517
SHCHAN,SIN HENG CHAN (MALAYSIA) BHD,4316
SHH,SHH RESOURCES HOLDINGS BHD,7412
SHL,SHL CONSOLIDATED BHD,6017
SIGGAS,SIG GASES BHD,5181
SIGN,SIGNATURE INTERNATIONAL BHD,7246
SIME,SIME DARBY BHD,4197
SIMEPLT,SIME DARBY PLANTATION BERHAD,5285
SIMEPROP,SIME DARBY PROPERTY BERHAD,5288
SINOTOP,SINOTOP HOLDINGS BHD,8532
SJC,SENI JAYA CORP BHD,9431
SKBSHUT,SKB SHUTTERS CORPORATION BHD,7115
SKH,SKH CONSORTIUM BHD,0060
SKPRES,SKP RESOURCES BHD,7155
SLP,SLP RESOURCES BHD,7248
SMCAP,SINMAH CAPITAL BHD,9776
SMI,SOUTH MALAYSIA INDUSTRIES BHD,4375
SMISCOR,SMIS CORP BHD,7132
SMRT,SMRT HOLDINGS BHD,0117
SMTRACK,SMTRACK BHD,0169
SNC,SAND NISKO CAPITAL BHD,7943
SNTORIA,SENTORIA GROUP BHD,5213
SOLID,SOLID AUTOMOTIVE BHD,5242
SOLUTN,SOLUTION ENGINEERING HOLDINGS BHD,0093
SOP,SARAWAK OIL PALMS BHD,5126
SPB,SELANGOR PROPERTIES BERHAD,1783
SPRITZER,SPRITZER BHD,7103
SPSETIA,S P SETIA BHD,8664
SRIDGE,SILVER RIDGE HOLDINGS BHD,0129
SSTEEL,SOUTHERN STEEL BHD,5665
STAR,STAR MEDIA GROUP BHD,6084
STERPRO,STERLING PROGRESS BHD,0140
STONE,STONE MASTER CORP BHD,7143
STRAITS,STRAITS INTER LOGISTICS BHD,0080
SUBUR,SUBUR TIASA HOLDINGS BHD,6904
SUCCESS,SUCCESS TRANSFORMER CORP BHD,7207
SUIWAH,SUIWAH CORP BHD,9865
SUMATEC,SUMATEC RESOURCES BHD,1201
SUNCON,SUNWAY CONSTRUCTION GROUP BHD,5263
SUNREIT,SUNWAY REAL ESTATE INVESTMENT TRUST,5176
SUNSURIA,SUNSURIA BHD,3743
SUNWAY,SUNWAY BHD,5211
SUNZEN,SUNZEN BIOTECH BHD,0148
SUPERLN,SUPERLON HOLDINGS BHD,7235
SUPERMX,SUPERMAX CORP BHD,7106
SURIA,SURIA CAPITAL HOLDINGS BHD,6521
SWKPLNT,SARAWAK PLANTATION BHD,5135
SWSCAP,SWS CAPITAL BHD,7186
SYCAL,SYCAL VENTURES BHD,9717
SYF,SYF RESOURCES BHD,7082
SYMLIFE,SYMPHONY LIFE BHD,1538
SYSCORP,SHIN YANG SHIPPING CORP BHD,5173
SYSTECH,SYSTECH BHD,0050
T7GLOBAL,T7 GLOBAL BHD,7228
TA,TA ENTERPRISE BHD,4898
TAANN,TA ANN HOLDINGS BHD,5012
TADMAX,TADMAX RESOURCES BHD,4022
TAFI,TAFI INDUSTRIES BHD,7211
TAGB,TA GLOBAL BHD,5158
TAKAFUL,SYARIKAT TAKAFUL MALAYSIA BHD,6139
TALAMT,TALAM TRANSFORM BHD,2259
TALIWRK,TALIWORKS CORP BHD,8524
TAMBUN,TAMBUN INDAH LAND BHD,5191
TANCO,TANCO HOLDINGS BHD,2429
TAS,TAS OFFSHORE BHD,5149
TASCO,TASCO BHD,5140
TASEK,TASEK CORP BHD,4448
TATGIAP,TATT GIAP GROUP BHD,5178
TAWIN,TA WIN HOLDINGS BHD,7097
TCHONG,TAN CHONG MOTOR HOLDINGS BHD,4405
TDEX,TECHNODEX BHD,0132
TDM,TDM BHD,2054
TECFAST,TECHFAST HOLDINGS BHD,0084
TECGUAN,TECK GUAN PERDANA BHD,7439
TEKSENG,TEK SENG HOLDINGS BHD,7200
TENAGA,TENAGA NASIONAL BHD,5347
TEOSENG,TEO SENG CAPITAL BHD,7252
TEXCHEM,TEXCHEM RESOURCES BHD,8702
TEXCYCL,TEX CYCLE TECHNOLOGY (M) BHD,0089
TFP,TFP SOLUTIONS BHD,0145
TGL,TEO GUAN LEE CORP BHD,9369
TGUAN,THONG GUAN INDUSTRIES BHD,7034
THETA,THETA EDGE BHD,9075
THHEAVY,TH HEAVY ENGINEERING BERHAD,7206
THPLANT,TH PLANTATIONS BHD,5112
THRIVEN,THRIVEN GLOBAL BHD,7889
TIENWAH,TIEN WAH PRESS HOLDINGS BHD,7374
TIGER,TIGER SYNERGY BHD,7079
TIMECOM,TIME DOTCOM BHD,5031
TIMWELL,TIMBERWELL BHD,7854
TITIJYA,TITIJAYA LAND BHD,5239
TM,TELEKOM MALAYSIA BHD,4863
TMCLIFE,TMC LIFE SCIENCES BHD,0101
TNLOGIS,TIONG NAM LOGISTICS HOLDINGS BHD,8397
TOCEAN,TRANSOCEAN HOLDINGS BHD,7218
TOMEI,TOMEI CONSOLIDATED BHD,7230
TOMYPAK,TOMYPAK HOLDINGS BHD,7285
TONGHER,TONG HERR RESOURCES BHD,5010
TOPGLOV,TOP GLOVE CORP BHD,7113
TOYOINK,TOYO INK GROUP BHD,7173
TPC,TPC PLUS BHD,7176
TRC,TRC SYNERGY BHD,5054
TRIMODE,TRI-MODE SYSTEM (M) BHD,0199
TRIVE,TRIVE PROPERTY GROUP BHD,0118
TROP,TROPICANA CORP BHD,5401
TSH,TSH RESOURCES BHD,9059
TSRCAP,TSR CAPITAL BHD,5042
TUNEPRO,TUNE PROTECT GROUP BHD,5230
TURBO,TURBO-MECH BHD,5167
TURIYA,TURIYA BHD,4359
TWRREIT,TOWER REAL ESTATE INVESTMENT TRUST,5111
UCHITEC,UCHI TECHNOLOGIES BHD,7100
UCREST,UCREST BHD,0005
UEMS,UEM SUNRISE BHD,5148
ULICORP,UNITED U-LI CORP BHD,7133
UMCCA,UNITED MALACCA BHD,2593
UMS,UMS HOLDINGS BHD,7137
UMSNGB,UMS-NEIKEN GROUP BHD,7227
UMW,UMW HOLDINGS BHD,4588
UNIMECH,UNIMECH GROUP BHD,7091
UNISEM,UNISEM (M) BHD,5005
UOADEV,UOA DEVELOPMENT BHD,5200
UOAREIT,UOA REAL ESTATE INVESTMENT TRUST,5110
UPA,UPA CORP BHD,7757
UTDPLT,UNITED PLANTATION BERHAD,2089
UTUSAN,UTUSAN MELAYU (MALAYSIA) BHD,5754
UZMA,UZMA BHD,7250
VELESTO,VELESTO ENERGY BERHAD,5243
VERSATL,VERSATILE CREATIVE BHD,4995
VERTICE,VERTICE BHD,7240
VIS,VISDYNAMICS HOLDINGS BHD,0120
VITROX,VITROX CORP BHD,0097
VIVOCOM,VIVOCOM INTL HOLDINGS BHD,0069
VIZIONE,VIZIONE HOLDINGS BHD,7070
VS,V.S INDUSTRY BHD,6963
VSOLAR,VSOLAR GROUP BHD,0066
WANGZNG,WANG- ZHENG BHD,7203
WARISAN,WARISAN TC HOLDINGS BHD,5016
WASEONG,WAH SEONG CORP BHD,5142
WATTA,WATTA HOLDING BHD,7226
WCEHB,WCE HOLDINGS BHD,3565
WCT,WCT HOLDINGS BERHAD,9679
WEGMANS,WEGMANS HOLDINGS BHD,0197
WEIDA,WEIDA (M) BHD,7111
WELLCAL,WELLCALL HOLDINGS BHD,7231
WIDETEC,WIDETECH (MALAYSIA) BHD,7692
WILLOW,WILLOWGLEN MSC BHD,0008
WINTONI,WINTONI GROUP BHD,0141
WMG,WMG HOLDINGS BHD,6378
WONG,WONG ENGINEERING CORP BHD,7050
WOODLAN,WOODLANDOR HOLDINGS BHD,7025
WPRTS,WESTPORTS HOLDINGS BHD,5246
WTHORSE,WHITE HORSE BHD,5009
WTK,WTK HOLDINGS BHD,4243
WZSATU,WZ SATU BHD,7245
XDL,XIDELANG HOLDINGS LTD,5156
XIANLNG,XIAN LENG HOLDINGS BHD,7121
XINGHE,XINGHE HOLDINGS BERHAD,0095
XINHWA,XIN HWA HOLDINGS BHD,5267
XINQUAN,XINGQUAN INTERNATIONAL SPORTS HOLDINGS LTD,5155
XOX,XOX BHD,0165
Y&G,Y&G CORP BHD,7003
YEELEE,YEE LEE CORP BHD,5584
YFG,YFG BHD,7122
YGL,YGL CONVERGENCE BHD,0086
YILAI,YI-LAI BHD,5048
YINSON,YINSON HOLDINGS BHD,7293
YKGI,YKGI HOLDINGS BHD,7020
YLI,YLI HOLDINGS BHD,7014
YNHPROP,YNH PROPERTY BHD,3158
YOCB,YOONG ONN CORP BHD,5159
YONGTAI,YONG TAI BHD,7066
YSPSAH,Y.S.P. SOUTHEAST ASIA HOLDING BHD,7178
YTL,YTL CORP BHD,4677
YTLLAND,YTL LAND & DEVELOPMENT BHD,2577
YTLPOWR,YTL POWER INTERNATIONAL BHD,6742
YTLREIT,YTL HOSPITALITY REIT,5109
ZECON,ZECON BHD,7028
ZELAN,ZELAN BHD,2283
ZHULIAN,ZHULIAN CORP BHD,5131
