code,name,yield_sum,yield_mean,url
5191,Tambun Indah Land Bhd (TAMB),49.69,16.5633,https://www.investing.com/equities/tambun-indah-land-bhd
5272,Ranhill Holdings Ltd (RANH),48.11,24.055,https://www.investing.com/equities/symphony-house-bhd
5161,JCY International Bhd (JCYI),47.34,23.67,https://www.investing.com/equities/jcy-international-bhd
5254,Boustead Plantations Bhd (BOPL),47.29,23.645,https://www.investing.com/equities/boustead-plantations-bhd
6084,Star Media Group Bhd (STAR),45.65,15.2167,https://www.investing.com/equities/star-media-group-bhd
5078,Marine & General Bhd (MARI),45.45,45.45,https://www.investing.com/equities/silk-holdings-bhd
8524,Taliworks Corporation Bhd (TWRK),42.03,21.015,https://www.investing.com/equities/taliworks-corporation-bhd
4502,Media Prima Bhd (MPRM),41.03,20.515,https://www.investing.com/equities/media-prima-bhd
5010,Tong Herr Resources Bhd (THRB),40.67,13.5567,https://www.investing.com/equities/tong-herr-resources-bhd
3859,Magnum Bhd (MAGM),39.69,19.845,https://www.investing.com/equities/magnum-bhd
7157,CYL Corporation Bhd (CYLC),39.21,13.07,https://www.investing.com/equities/cyl-corporation-bhd
6009,Pacific Orient Bhd (PACO),38.43,19.215,https://www.investing.com/equities/pacific-orient-bhd
1562,Berjaya Sports Toto Bhd (BSTB),37.92,18.96,https://www.investing.com/equities/berjaya-sports-toto-bhd
5095,HeveaBoard Bhd (HEVE),37.69,18.845,https://www.investing.com/equities/heveaboard-bhd
5180,CapitaLand Malaysia Mall Trust (CAMA),36.07,12.0233,https://www.investing.com/equities/capitamalls-malaysia-trust
5109,YTL Hospitality REIT (YTLR),36.05,18.025,https://www.investing.com/equities/ytl-hospitality-reit
1198,MAA Group Bhd (MAAS),35.97,17.985,https://www.investing.com/equities/maa-group-bhd
5436,Perusahaan Sadur Timah Malaysia Perstima Bhd (PSTM),34.68,11.56,https://www.investing.com/equities/perusahaan-sadur-timah
7237,Power Root Bhd (POWE),34.63,17.315,https://www.investing.com/equities/power-root-bhd
5236,Matrix Concepts Holdings Bhd (MATR),33.15,16.575,https://www.investing.com/equities/matrix-concepts-holdings-bhd
5176,Sunway Real Estate Investment Trust (SUNW),33.08,16.54,https://www.investing.com/equities/sunway-real-estate-invest-trust
7099,Atta Global Group Bhd (ATTA),32.5,16.25,https://www.investing.com/equities/smpc-corporation-bhd
5123,MRCB-Quill REIT Unit (MQRE),31.49,10.4967,https://www.investing.com/equities/mrcb-quill-unit
5121,Hektar Real Estate Investment Trust (HEKR),31.31,15.655,https://www.investing.com/equities/hektar-reit
7089,Lii Hen Industries Bhd (LHEN),30.33,15.165,https://www.investing.com/equities/lii-hen-industries-bhd
7374,Tien Wah Press Holdings Bhd (TWPH),30.27,15.135,https://www.investing.com/equities/tien-wah-press-holdings
5070,Protasco Bhd (PRTO),29.67,14.835,https://www.investing.com/equities/protasco-bhd
5090,Media Chinese International Ltd (MDCH),29.38,14.69,https://www.investing.com/equities/media-chinese-international-ltd
5212,Pavilion Real Estate Inv Trust (PREI),29.23,9.74333,https://www.investing.com/equities/pavilion-real-estate-inv-trust
2771,Boustead Holdings Bhd (BOUS),29.12,14.56,https://www.investing.com/equities/boustead-holdings-bhd
7081,Pharmaniaga Bhd (PHMA),29.05,14.525,https://www.investing.com/equities/pharmaniaga-bhd
7169,Dominant Enterprise Bhd (DOMN),28.52,14.26,https://www.investing.com/equities/dominant-enterprise-bhd
5228,ELK-Desa Resources Bhd (ELKD),28.17,14.085,https://www.investing.com/equities/elk-desa-resources-bhd
5248,Bermaz Auto Bhd (BERA),27.94,13.97,https://www.investing.com/equities/berjaya-auto-bhd
5227,IGB Real Estate Investment Trust (IGRE),27.84,13.92,https://www.investing.com/equities/igb-real-estate-investment-trust
5235SS,KLCC Property Holdings Bhd (KLCC),27.71,13.855,https://www.investing.com/equities/klcc-prop-reits---stapled-sec
4448,Tasek Corporation Bhd (TKCS),27.18,13.59,https://www.investing.com/equities/tasek-corporation-bhd
2674,Aluminium Company of Malaysia Bhd (ALCO),26.28,26.28,https://www.investing.com/equities/aluminium-company-of-malaysia
7811,Sapura Industrial Bhd (SAPU),25.49,12.745,https://www.investing.com/equities/sapura-industrial-bhd
5209,Gas Malaysia Bhd (GASM),25.42,12.71,https://www.investing.com/equities/gas-malaysia-bhd
3107,Fima Corporation Bhd (FIMA),24.58,12.29,https://www.investing.com/equities/fima-corporation-bhd
7202,Classic Scenic Bhd (CSCB),24.55,12.275,https://www.investing.com/equities/classic-scenic-bhd
5269,Al-Salam Real Estate Investment Trust (ALSA),24.22,12.11,https://www.investing.com/equities/al-salam-real-estate-investment
6947,DiGi.Com Bhd (DSOM),23.97,11.985,https://www.investing.com/equities/digi.com-bhd
7048,Atlan Holdings Bhd (ATLA),23.96,11.98,https://www.investing.com/equities/atlan-holdings-bhd
3816,MISC Bhd (MISC),23.87,11.935,https://www.investing.com/equities/misc-bhd
7088,Poh Huat Resources Holdings (PHUA),23.82,11.91,https://www.investing.com/equities/poh-huat-resources-holdings
5131,Zhulian Corporation Bhd (ZHCO),23.53,11.765,https://www.investing.com/equities/zhulian-corporation-bhd
5160,Homeritz Corporation Bhd (HOME),23.3,11.65,https://www.investing.com/equities/homeritz-corporation-bhd
8664,SP Setia Bhd (SETI),22.7,11.35,https://www.investing.com/equities/sp-setia-bhd
5020,Glomac Bhd (GLOM),22.61,11.305,https://www.investing.com/equities/glomac-bhd
5216,Datasonic Group Bhd (DSON),22.56,11.28,https://www.investing.com/equities/datasonic-group-bhd
5264,Malakoff Corporation Bhd (MALA),22.5,11.25,https://www.investing.com/equities/malakoff-corporation-bhd
5280,KIP Real Estate Investment Trust (KIPR),22.32,22.32,https://www.investing.com/equities/kip-real-estate-investment-trust
5049,Country View Bhd (CVIE),21.7,10.85,https://www.investing.com/equities/country-view-bhd
6033,Petronas Gas Bhd (PGAS),21.64,10.82,https://www.investing.com/equities/petronas-gas-bhd
4197,Sime Darby Bhd (SIME),21.15,10.575,https://www.investing.com/equities/sime-darby-bhd
6399,Astro Malaysia Holdings Bhd (ASTR),20.92,20.92,https://www.investing.com/equities/astro-malaysia-holdings-bhd
6012,Maxis Bhd (MXSC),20.9,10.45,https://www.investing.com/equities/maxis-bhd
5009,White Horse Bhd (WHSE),20.46,10.23,https://www.investing.com/equities/white-horse-bhd
5100,BP Plastics Holding Bhd (BPPL),20.27,20.27,https://www.investing.com/equities/bp-plastics-holding-bhd
5132,Deleum Bhd (DLEU),18.84,9.42,https://www.investing.com/equities/deleum-bhd
0099,Scicom MSC Bhd (SCCM),18.56,18.56,https://www.investing.com/equities/scicom-msc-bhd
7152,Jaycorp Bhd (JAYC),18.55,18.55,https://www.investing.com/equities/jaycorp-bhd
7231,Wellcall Holdings Bhd (WCAL),16.71,16.71,https://www.investing.com/equities/wellcall-holdings-bhd
7129,Asia File Corporation Bhd (AFCB),16.65,16.65,https://www.investing.com/equities/asia-file-corporation-bhd
0158,SCC Holdings Bhd (SCCH),16.56,16.56,https://www.investing.com/equities/scc-holdings-bhd
5032,Bintulu Port Holdings Bhd (BPOT),15.06,15.06,https://www.investing.com/equities/bintulu-port-holdings-bhd
7285,Tomypak Holdings Bhd (TOMY),13.01,13.01,https://www.investing.com/equities/tomypak-holdings-bhd
5021,AYS Ventures Bhd (AYSV),12.58,12.58,https://www.investing.com/equities/ays-ventures-bhd
7100,Uchi Technologies Bhd (UCHI),12.47,12.47,https://www.investing.com/equities/uchi-technologies-bhd
3379PA,Insas Bhd Pref (INSS_p),12.47,12.47,https://www.investing.com/equities/insas-bhd-pref
5568,APB Resources Bhd (APBS),12.41,12.41,https://www.investing.com/equities/apb-resources-bhd
8702,Texchem Resources Bhd (TEXC),12.35,12.35,https://www.investing.com/equities/texchem-resources-bhd
1155,Malayan Banking Bhd (MBBM),12.31,12.31,https://www.investing.com/equities/malayan-banking-bhd
9598,Pintaras Jaya Bhd (PINT),12.05,12.05,https://www.investing.com/equities/pintaras-jaya-bhd
7134,PW Consolidated Bhd (PWFC),11.74,11.74,https://www.investing.com/equities/pw-consolidated-bhd
5107,IQ Group Holdings Bhd (IQGH),11.58,11.58,https://www.investing.com/equities/iq-group-holdings-bhd
5024,Hup Seng Industries Bhd (HSIB),11.54,11.54,https://www.investing.com/equities/hup-seng-industries-bhd
5112,TH Plantations Bhd (THPB),11.4,11.4,https://www.investing.com/equities/th-plantations-bhd
7107,Oriental Food Industries Hold (OFIH),11.27,11.27,https://www.investing.com/equities/oriental-food-industries-hold
9148,Advanced Packaging Tech (Malaysia) (APTB),11.2,11.2,https://www.investing.com/equities/advanced-packaging-tech-(m)
6963,VS Industry Bhd (VSID),11.09,11.09,https://www.investing.com/equities/vs-industry-bhd
5094,CSC Steel Holdings Bhd (CSTH),11.08,11.08,https://www.investing.com/equities/csc-steel-holdings-bhd
1724,Paramount Corporation Bhd (PRMS),10.76,10.76,https://www.investing.com/equities/paramount-corporation-bhd
5062,Hua Yang Bhd (HUAY),10.66,10.66,https://www.investing.com/equities/hua-yang-bhd
7133,United U Li Corporation Bhd (UULI),10.63,10.63,https://www.investing.com/equities/united-u-li-corporation
5147,Samchem Holdings Bhd (SAHB),10.56,10.56,https://www.investing.com/equities/samchem-holdings-bhd
5005,Unisem M Bhd (UNSM),10.55,10.55,https://www.investing.com/equities/unisem-m-bhd
5125,Pantech Group Holdings Bhd (PNTE),10.48,10.48,https://www.investing.com/equities/pantech-group-holdings-bhd
5202,MSM Malaysia Holdings Bhd (MSMH),10.48,10.48,https://www.investing.com/equities/msm-malaysia-holdings-bhd
5159,Yoong Onn Corporation Bhd (YGON),10.39,10.39,https://www.investing.com/equities/yoong-onn-corporation-bhd
6173,Bina Darulaman Bhd (BDBS),10.23,10.23,https://www.investing.com/equities/bina-darulaman-bhd
5007,Chin Well Holdings Bhd (CWHB),10.22,10.22,https://www.investing.com/equities/chin-well-holdings-bhd
2836,Carlsberg Brewery Malaysia Bhd (CBMS),10.19,10.19,https://www.investing.com/equities/carlsberg-brewery-malaysia-bhd
5015,APM Automotive Holdings Bhd (APMA),9.99,9.99,https://www.investing.com/equities/apm-automotive-holdings-bhd
5138,Hap Seng Plantations Holdings Bhd (HAPP),9.98,9.98,https://www.investing.com/equities/hap-seng-plantations-holdings-bhd
3662,Malayan Flour Mills Bhd (MFMS),9.84,9.84,https://www.investing.com/equities/malayan-flour-mills-bhd
5053,OSK Holdings Bhd (OSKH),9.79,9.79,https://www.investing.com/equities/osk-holdings-bhd
6556,Ann Joo Resources Bhd (ANNJ),9.74,9.74,https://www.investing.com/equities/ann-joo-resources-bhd
6645,Lingkaran Trans Kota Holdings Bhd (LTKH),9.55,9.55,https://www.investing.com/equities/lingkaran-trans-kota-holdings-bhd
7033,Kumpulan H & L High-Tech Bhd (KHLH),9.42,9.42,https://www.investing.com/equities/kumpulan-h-l-high-tech
5681,Petronas Dagangan Bhd (PETR),9.41,9.41,https://www.investing.com/equities/petronas-dagangan-bhd
5081,Esthetics International Group (ESTH),9.24,9.24,https://www.investing.com/equities/esthetics-international-group
5099,Airasia Bhd (AIRA),9.13,9.13,https://www.investing.com/equities/airasia-bhd
5278,Rhone Ma Holdings Bhd (RHON),8.86,8.86,https://www.investing.com/equities/rhone-ma-holdings-bhd
5162,ECS ICT Bhd (ECSI),8.75,8.75,https://www.investing.com/equities/ecs-ict-bhd
5143,Luxchem Corporation Bhd (LCBH),8.5,8.5,https://www.investing.com/equities/luxchem-corporation-bhd
